"","COI.0421.1Prt.Dn.2","COI.0421.1Prt.Up.1","COI.0421.1Prt.Up.3","Delta.1m1.072021","Delta.1m2.072021","Delta.1m3.072021","MBT.1m1.072021"
"NA__NA__NA__NA__NA__NA__NA__Seq_0095",87,72,116,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0096",43,74,156,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0097",122,71,73,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0098",90,54,119,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0099",106,81,74,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0100",32,45,183,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0101",163,48,44,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0102",76,87,90,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0103",60,71,122,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0104",138,0,112,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0105",114,84,52,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0106",53,113,84,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0107",63,65,121,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0108",87,63,98,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0109",40,100,108,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0110",204,43,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0111",42,133,71,0,0,0,0
"Metazoa__Rotifera__Monogononta__NA__NA__NA__NA__Seq_0112",245,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0113",94,95,54,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0114",127,80,32,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0115",31,60,148,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0116",110,20,106,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0117",233,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0118",186,0,47,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0119",58,87,88,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0120",120,47,65,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0121",231,0,0,0,0,0,0
"NA__Bacillariophyta__Bacillariophyceae__NA__NA__NA__NA__Seq_0122",34,117,80,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0123",91,0,138,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0124",78,71,80,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0125",47,65,116,0,0,0,0
