"","COI.0421.1Prt.Dn.2","COI.0421.1Prt.Up.1","COI.0421.1Prt.Up.3","Delta.1m1.072021","Delta.1m2.072021","Delta.1m3.072021","MBT.1m1.072021"
"NA__NA__NA__NA__NA__NA__NA__Seq_5634",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5635",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5636",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5637",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5638",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5639",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5640",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5641",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5642",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5643",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5644",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5645",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5646",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5647",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5648",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5649",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5650",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5651",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5652",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5653",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5654",0,0,23,0,0,0,0
"Metazoa__Arthropoda__NA__NA__NA__NA__NA__Seq_5655",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5656",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5657",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5658",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5659",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5660",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5661",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5662",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5663",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5664",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5665",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5666",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5667",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5668",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5669",0,0,23,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5670",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5671",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5672",0,0,22,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_5673",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5674",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5675",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5676",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5677",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5678",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5679",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5680",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5681",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5682",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5683",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5684",0,0,22,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_5685",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5686",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5687",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5688",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5689",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5690",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5691",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5692",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5693",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5694",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5695",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5696",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5697",0,0,22,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA__Seq_5698",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5699",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5700",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5701",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5702",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5703",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5704",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5705",0,0,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5706",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5707",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5708",0,0,21,0,0,0,0
"NA__NA__Oomycetes__NA__NA__NA__NA__Seq_5709",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5710",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5711",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5712",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5713",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5714",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5715",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5716",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5717",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5718",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5719",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5720",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5721",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5722",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5723",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5724",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5725",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5726",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5727",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5728",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5729",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5730",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5731",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5732",0,0,21,0,0,0,0
"Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Seq_5733",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5734",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5735",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5736",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5737",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5738",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5739",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5740",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5741",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5742",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5743",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5744",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5745",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5746",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5747",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5748",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5749",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5750",0,0,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5751",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5752",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5753",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5754",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5755",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5756",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5757",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5758",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5759",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5760",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5761",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5762",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5763",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5764",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5765",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5766",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5767",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5768",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5769",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5770",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5771",0,0,20,0,0,0,0
"Metazoa__Cnidaria__Hydrozoa__Anthoathecata__Hydridae__Hydra__Hydra viridissima__Seq_5772",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5773",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5774",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5775",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5776",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5777",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5778",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5779",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5780",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5781",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5782",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5783",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5784",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5785",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5786",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5787",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5788",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5789",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5790",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5791",0,0,20,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_5792",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5793",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5794",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5795",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5796",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5797",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5798",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5799",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5800",0,0,20,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5801",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5802",0,0,19,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_5803",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5804",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5805",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5806",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5807",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5808",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5809",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5810",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5811",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5812",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5813",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5814",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5815",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5816",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5817",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5818",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5819",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5820",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5821",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5822",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5823",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5824",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5825",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5826",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5827",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5828",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5829",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5830",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5831",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5832",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5833",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5834",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5835",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5836",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5837",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5838",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5839",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5840",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5841",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5842",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5843",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5844",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5845",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5846",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5847",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5848",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5849",0,0,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5850",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5851",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5852",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5853",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5854",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5855",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5856",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5857",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5858",0,0,18,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_5859",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5860",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5861",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5862",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5863",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5864",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5865",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5866",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5867",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5868",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5869",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5870",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5871",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5872",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5873",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5874",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5875",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5876",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5877",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5878",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5879",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5880",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5881",0,0,18,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_5882",0,0,18,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__Lumbricus__Lumbricus terrestris__Seq_5883",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5884",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5885",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5886",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5887",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5888",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5889",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5890",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5891",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5892",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5893",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5894",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5895",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5896",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5897",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5898",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5899",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5900",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5901",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5902",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5903",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5904",0,0,18,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_5905",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5906",0,0,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5907",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5908",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5909",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5910",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5911",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5912",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5913",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5914",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5915",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5916",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5917",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5918",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5919",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5920",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5921",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5922",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5923",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5924",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5925",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5926",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5927",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5928",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5929",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5930",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5931",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5932",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5933",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5934",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5935",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5936",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5937",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5938",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5939",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5940",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5941",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5942",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5943",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5944",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5945",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5946",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5947",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5948",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5949",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5950",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5951",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5952",0,0,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_5953",0,0,17,0,0,0,0
