"","NGN0340","NGN0341","NGN0342","MGY11","NGN0343","MGY12","NGN0344","NGN0345","NGN0346","NGN0347","NGN0348","NGN0349","NGN0350","NGN0351","NGN0352","NGN0353","NGN0354","NGN0355","NGN0356","NGN0357","NGN0358","NGN0359","MGY13","MGY14","MGY15","MGY16","MGY17"
"13fe126719f3b038a3168c2bd72e3cde01974779",0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b49663255161036420d058f0daac4071f077c167",0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"912895a85538630c17d165976dc53d64ec24e1ce",0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b67b891e3789b80f7c3f38fe5eb1cccb5cd76473",0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60c0069db8364a1927b01241550c3fd1f098158c",0,0,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ff15487e53ee0b88d56ea68f515ffc25a547ceb3",0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4f548f7e85e1d0fbac9816f0b5d19ff5196d708c",0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38ebc388a7ba4f81caa51690da0fb2adc999f9d3",0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d46efd8c322ca7bdd6cacb17034b1c2cb8cea605",0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c3625993fc536572b0ca5d727cf6b08762d01644",0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44712cf0b2ed8c2221c97c362e5aa65c05c28914",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2b95376636ddacfb806c16af460604abfdc35203",0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15f99760df0db3851c1fe95ffefed5ed3cd6fa29",0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a6ce8efb3bd793101e5427197229a9030750cfbe",0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c7f38598a8f4c2e883ce48460462f4044b4bc573",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d44d76792619069bad7076fd4cc8fd5094e5a318",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4d6e2eb86d3cdddc51684ab7fbc2e589cb482734",0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3909757724d4b050aaacc296bc082e6d0571d654",0,0,5,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1adadc156d27b264f7c164620b97e31ba2660933",0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cdcc5676984a0ac683532e6cc3f3256d39a9faa9",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a8480b298cd2aa334e588a2198da112857f02905",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c008736528e5e9631ade15950ba471d68946e67b",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03416804d7c77520eee5ccb822f02d1ca1e20210",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fcb32c27a31e440d2d0d558b484c966b90bdf420",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"663afc2edb46a6a7eaa43015bca9d79d1255308a",0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8226b5bdf138be2918fb23c45d460ee546188cdd",0,0,4,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"2cb81a77d29f9d28ce1f44816030eb5bc64888b8",0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e38357d8d43a993440b148af8fc0a8a4b803b130",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e149cb74744ac0a1a65c81f058ce1ae52f36f7d8",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4a17e40cdedceda6ff5f0c78214697111a9f385d",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1c8e0e539bb2671f3039bf4ce04d0d29f9e9e684",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71e3402be43d0015a30187378a05bf4a48ffae6f",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1ab7a2a2325bdb0d7a2e05187c2d971f2a26f8e9",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d8d6a79b36124d6ea35ec1e289424e218dac82d6",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61528bb2d1bafe11e62d86fec11cf9edb462820f",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b2fb427082ab28f587d076adb1097be57d0ad221",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"816a0ee750327bc96ffb301b2d1f524b64175956",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9b3253be445b6bcaf780af54a9d38b569d564653",0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"817433dc7ea65eadb1d37d9367a5c291427354d5",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0bc5eaab8ca0e1f19832c02092dcf9131aaa4cd0",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20895cac3a6977c3c0cade3a562cbd4ade6c73b4",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8c7f8fbbdc17f5cbcb5d1176fc335fa8133f6166",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7bc5c9c251af212df2a992e7dfb7ba934751d75e",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f73d17af5e400aef9aecf4d5bdce883c8a4159aa",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bc96610d4a8a950a29dcaa39fff8c3728f1b7e91",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d10a2e73ee159bca7e09646e4da47a01483a7796",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"952e7b2d6a9a6f3fb8a05c5bfc883004860eeef1",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83d7722e8a6916b55a8927e5660dc85612773bc8",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88f7b835becd5c8320f810bcd11ddd5ccc6a0f08",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ed0d79276e6070dc2087c4d1bc519374561d9380",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eb3f71cfeee4891dd901b70ce7921b96cd48e0ab",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216bf89acb9f4d7c29a2659ffe64701f62ba17f4",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"be07bcadbfbeee69875f0c7c251c5076cd569d93",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adf8a8ae7a13dc42a3aa1c6cfc6f57ed9cb8e57e",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"565d226e81da695a0f9b4c25a5bcadc2977f08b4",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ff331a4b91a4bec9f72caf11068884186d2481d9",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8a6765ed901cce49d140e518e7ef100700c75ea5",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5265727c0d6918f6298d8449f59223ff74a8eebc",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"af72c0768db1bf250036ef35cfa8a60315f5ed10",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f4e402d331e1fc3d9c4ae9d001ab60ae5e9ab1d6",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"446911b50a94a952e4dd39dde1c8f906df80bae6",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f48e7c39c35216fc92ec429a3f722788c16e5cce",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e7f0b0eb33e7dd62287b932e3ae5da9c0ed09657",0,0,0,0,597,0,780,589,526,50,6,10,0,0,0,0,528,514,213,424,6,0,0,0,0,0,0
"4a5afcc8398da85eb6cbec3ba512aec5f0aacd49",0,0,0,0,70,0,0,8,0,28,184,0,151,0,0,0,0,149,0,50,0,0,0,0,0,0,0
"3447a79b859d1d1556e1521f710211407fd00d58",0,0,0,0,378,0,43,82,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c7ec1235517f44e78bf884eaddb1cf1afe843fc4",0,0,0,0,8,0,27,13,20,40,56,119,0,23,0,0,0,21,56,57,0,0,0,0,0,0,0
"5b415160882340bc1368c3f4b8b26d047be8f7f2",0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,141,72,0,0,0,0,0,0,0,0
"aad20fed2edeade18f434aa30c5241f986d97a6c",0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c7327aec0fd59afd522d179f75fa379d52db4358",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,138,29,29,0,0,0,0,0,0,0
"15f952be388bfd54f35934973fcdc4b83c6e6f89",0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8325c53ae11bbd29087a40abceed410f95ac3929",0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b93b74de19fb93f01d9b88b77499b063a8ce82b1",0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d57b48187dbf2b7efffe6fe9337227e36579bc49",0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c9129c691160cb9021aa247d796ab16d70a74339",0,0,0,0,6,0,0,104,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
"51a2c97ffd9c50fb5878ba5cb7548c57fae9b468",0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b1cb534ca699b9642d68ea1b6ea901d5f493208f",0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ce501972ac7d9bc0bdbbd55320f68e70d8556fbc",0,0,0,0,8,0,0,0,0,0,0,54,0,0,0,0,0,12,11,39,0,0,0,0,0,0,0
"ed9b4275de144b499c4c1058141a3ea3694cc2b5",0,0,0,0,30,0,0,0,0,39,0,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1703bfeb36a86813d4d47f1bfe5d4daca4e32da1",0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"948dd0b8be6dca04ca2e89ce4aa03b9f16b04bd8",0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82d238b186528b4ef9558104ac2f5ba5420f0b43",0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2089cd366319e385519dd8f726e2c5a568b4b5ab",0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2e9fcccd4841a0586698c77a8bee0914c8f94e77",0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
