"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"76","c84e42605c03a126ea41adece7c6e0b077fcefff",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"77","4292b682bc1a9a6b48d2edf316f59e15002ad0b2",1,"root","no rank",1,"","","","","","",""
"78","71892e2b7f0fd32f93e3686338fc51d1aa2a6a4a",183663,"Soricinae","subfamily",1,"Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"79","23c028aed3e55ece7d6dd3dfa4e93a0defff131b",9126,"Passeriformes","order",NA,"Metazoa","Chordata","Aves","Passeriformes","","",""
"80","98ce5a050808091ecd204576ba35ff7f9158e869",1,"root","no rank",1,"","","","","","",""
"81","893e88001472fd457de68f23840a7cbde75d55ec",1,"root","no rank",1,"","","","","","",""
"82","1253c453616d5428cb079ffadb26eacdaa44588c",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"83","b383c5e469ed158aaa2d3e4bc67bc1fcd429bd00",1,"root","no rank",1,"","","","","","",""
"84","c8e5ee8a49f54b74ce04b8997ee0cc6d712b9be1",1,"root","no rank",1,"","","","","","",""
"85","9377feab85133bc552a1ac44e5d64529c03ee042",1,"root","no rank",1,"","","","","","",""
"86","2b0c39077f06327b7e2754fe64381e2b2d57e560",2743731,"Pogonichthyinae","subfamily",1,"Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","",""
"87","9193f947976dea4c5f959ae35d321502bb5fadfc",1,"root","no rank",1,"","","","","","",""
"88","3f4244f5f9fad0d75922a1569d94ab3eb33f3c86",504568,"Salmoninae","subfamily",1,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"89","06926eea1b2d9942029cca28c8ad35d8e2afb1ae",1,"root","no rank",1,"","","","","","",""
"90","e4991723a7f544f770553242fd5d674e4a33c729",9347,"Eutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"91","da9e0e932325b5ff43d40e8db4fe0463b692a42e",1,"root","no rank",1,"","","","","","",""
"92","05c0d8f0fea5a2c10602bd9a179b522a1f4f3143",1,"root","no rank",1,"","","","","","",""
"93","5387ba514271abfdff44709433f9e508866fef14",1,"root","no rank",1,"","","","","","",""
"94","ee10a57b8e892ee72bf167c0efd0a15ec40cd488",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"95","615a3f53cc7f27926da4b3e199ea93244ef2f96c",9126,"Passeriformes","order",NA,"Metazoa","Chordata","Aves","Passeriformes","","",""
"96","b2aa06b5fea074d599c5d60c2c85f06368dafb28",1,"root","no rank",1,"","","","","","",""
"97","c29dca67c118b73fa99d29de4adbe2b9b51dbf66",1,"root","no rank",1,"","","","","","",""
"98","38827096d0387de3384b7947b12fd794ccbeebee",1,"root","no rank",1,"","","","","","",""
"99","70a3e53e3e2c41bc4c57cbd79f14cc0d9c515f5c",8830,"Anatidae","family",0.9998,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"100","65466d28dfea99ee542cc246e082d6e169fdcef9",1,"root","no rank",1,"","","","","","",""
"101","bde0a36ff49e87d39c43d3be74a128fa970ebe9f",1,"root","no rank",1,"","","","","","",""
"102","b533be4b7665b6542b7baea653baf28d18f2aded",1,"root","no rank",1,"","","","","","",""
"103","8b97b52072a0d433f0528eebf564e4a5894f7a03",1,"root","no rank",1,"","","","","","",""
"104","d9e3e68f44741842aaf85cbe8a7e42fbf3b7b16d",1,"root","no rank",1,"","","","","","",""
"105","5d033a6112f231fd3f8991741e0f04f193517321",400782,"Parulidae","family",1,"Metazoa","Chordata","Aves","Passeriformes","Parulidae","",""
"106","8d75c69717bf29db2a097c74a898b3140162a457",1,"root","no rank",1,"","","","","","",""
"107","41f7f70b9a0e5588c1da27aaab8b61682e41e656",9688,"Panthera","genus",1,"Metazoa","Chordata","Mammalia","Carnivora","Felidae","Panthera",""
"108","b5b6f6df887263272b6d362cba9eacfa6b8b6f8a",1,"root","no rank",1,"","","","","","",""
"109","c00b7529e975a4d42a88d67833bdc89302865529",1,"root","no rank",1,"","","","","","",""
"110","5ab0ed3a6f309bcde7b70a658051739b7c1e2fba",1,"root","no rank",1,"","","","","","",""
"111","311dc383535518bf3e6f854961ac2d777cc957f9",13245,"Regulus satrapa","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Sylviidae","Regulus","Regulus satrapa"
"112","718e4496abb042983be42da7ec4f981a95e3cac4",8825,"Neognathae","infraclass",0.9991,"Metazoa","Chordata","Aves","","","",""
"113","858f4c2c3cd20bd167f1e495bfdc88b71aa217a9",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"114","f74cf42a45c5bf302e7b2233452e0cca0a14cbba",1,"root","no rank",1,"","","","","","",""
"115","2bde1baa06baad8922b095b4fdcd3ca86565e8e5",1,"root","no rank",1,"","","","","","",""
"116","338ab58c5670013268c6d110aea775f44d1e16d5",1,"root","no rank",1,"","","","","","",""
"117","69e1baa12096acc8c9e9158a6a978a8228658b6e",1,"root","no rank",1,"","","","","","",""
"118","b01206a5c3894a926e2167b0766297f098896c5f",9319,"Osphranter robustus","species",NA,"Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","Osphranter","Osphranter robustus"
"119","010e220e41a1acbc4224ffc74af1ad24e809261a",1,"root","no rank",1,"","","","","","",""
"120","afb6e29d578074f7a4ffe420bed62b2babbaa2c1",38609,"Diprotodontia","order",0.9996,"Metazoa","Chordata","Mammalia","Diprotodontia","","",""
"121","d1f83ac4edad4557c4efaa9f2fac832fa66308e5",1,"root","no rank",1,"","","","","","",""
"122","9cbe9776d7d1838f1adcc215a39365c34a8625e5",1,"root","no rank",1,"","","","","","",""
"123","48b71b7377c826fa7c7f6d7b130bdc3b8acf11c0",1,"root","no rank",1,"","","","","","",""
"124","e31dd467747663e9e16bf06f5430df469ce761bd",1,"root","no rank",1,"","","","","","",""
"125","7def7d888973785b2a1eee3990e97f86621a4bf1",1,"root","no rank",1,"","","","","","",""
"126","e34ca00caa3ab4bd953847bdb67f805d84628240",1,"root","no rank",1,"","","","","","",""
"127","48f0cf544ed69b0796edc60af504f607a6c6dce3",1,"root","no rank",1,"","","","","","",""
"128","8f245a5fcfe5252eea70aac8f2c00521692d4b94",1,"root","no rank",1,"","","","","","",""
"129","87e96192fa61ed4b6a7deb0a40359c6cb1af8be9",1,"root","no rank",1,"","","","","","",""
"130","301592d072a4fc7a7394f706da81c573cf45ee2e",1,"root","no rank",1,"","","","","","",""
"131","63e1d9991c3f36df15d32e441d2dd78a1cb43340",1,"root","no rank",1,"","","","","","",""
"132","f38e569153a458825f140a0b43e391a19ba83a07",1,"root","no rank",1,"","","","","","",""
"133","332b3ac1e757452d035e84c1d4324dbece37a133",1,"root","no rank",1,"","","","","","",""
"134","cba13823fbde3c9728be7fd5cb4267b7ab9389ca",1,"root","no rank",1,"","","","","","",""
"135","6e0998c9e83ed32b4c127dd43bc20c29aec52166",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"136","1bf2be98703936e6f2ce2788acde78765edcd82f",1,"root","no rank",1,"","","","","","",""
"137","1e5226e1da4fa094a10afc9f7e75372a32c90f10",1,"root","no rank",1,"","","","","","",""
"138","54141231e62c9e044bbe92e8e95782e263ddf3d1",1,"root","no rank",1,"","","","","","",""
"139","5b26baf2660f009f19b5aaf684b7dfa227e0f0de",1,"root","no rank",1,"","","","","","",""
"140","139ff38d8eb60547dba8a13573cc4d1939382544",28725,"Corvidae","family",0.9806,"Metazoa","Chordata","Aves","Passeriformes","Corvidae","",""
"141","db3d93ddc149457cdb901f99dedf2851d18bce50",1,"root","no rank",1,"","","","","","",""
"142","d1dbb68f9ff3177058078a66f5b020020de32cd2",1,"root","no rank",1,"","","","","","",""
"143","ad36c8896b0086619c89212729e30e78b8c7ee4d",1,"root","no rank",1,"","","","","","",""
"144","97a1f51c0af972b3105837d46a3ddee698469d11",1,"root","no rank",1,"","","","","","",""
"145","364ae5aa6197d707905445e811d76b78e6c63d61",1,"root","no rank",1,"","","","","","",""
"146","4b53f34ca90c4fbdac6e70f83a13d577b8f8fd95",1,"root","no rank",1,"","","","","","",""
"147","5810d9b8333e77bfa8da9def5d384d6e6b029c9f",1,"root","no rank",1,"","","","","","",""
"148","6d724a2e6674d357fba48a470dc80bed8b674ee9",1,"root","no rank",1,"","","","","","",""
"149","b0ab86cbb8c40b6a4a17d209dca6adf7d4029b04",1,"root","no rank",1,"","","","","","",""
"150","964a2d393633a9ba61c245cdc3e8676dd71314ce",1,"root","no rank",1,"","","","","","",""
"151","625056e2a012cc9f0a7dee786f4bb32d5c41b889",1,"root","no rank",1,"","","","","","",""
"152","35bfb6f133c52b639e6d4d74cbef2458c3534c5d",1,"root","no rank",1,"","","","","","",""
"153","854e8bb41726c5d548c8b4fc7af83d1ad21377dd",1,"root","no rank",1,"","","","","","",""
"154","c3dfdb6d91cc3500a3a7814dd07c6f7b73d62ad9",1,"root","no rank",1,"","","","","","",""
"155","a6d4e9f15b1e754c9c11ec8edee164e5eb0c343e",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"156","c9fbdb4b85b09a526a58952bc9b9ef69aaf50d9b",1,"root","no rank",1,"","","","","","",""
"157","cb1c504f55325dba6327fa8805e845347c1f3262",1,"root","no rank",1,"","","","","","",""
"158","de24862b71eed12e141ff57cf67608476410284a",1,"root","no rank",1,"","","","","","",""
"159","e8afa24a0782e8cd1c0f4eb2c8ed68010f28afbf",1,"root","no rank",1,"","","","","","",""
"160","48bf52301b31121977f06f5a7d615a24e402b875",1,"root","no rank",1,"","","","","","",""
"161","5db107220f523f371fd9732ee6749db2e5867ee6",1,"root","no rank",1,"","","","","","",""
"162","b903c230307ae3f11745f6ef756e641403294ae8",1,"root","no rank",1,"","","","","","",""
"163","061386b9c5750cbde565912b86f4fe0f075da5f0",1,"root","no rank",1,"","","","","","",""
"164","de1b0fa5bf4731ad0304175bb17eaf4e747ba2fa",1,"root","no rank",1,"","","","","","",""
"165","c759355dee9f9aa45a12f5cef4b9c304711eb9d4",9989,"Rodentia","order",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"166","ece7680bced1187e2f1e097e3d5653f0628b42bb",1,"root","no rank",1,"","","","","","",""
"167","c99994322bb59dd2abb8811c6200d435e40a802f",1,"root","no rank",1,"","","","","","",""
"168","034bb4a8d095515c5fa3661e10d121c958bc0c44",1,"root","no rank",1,"","","","","","",""
"169","94bb478e5e71ec60861e4942c3584d23b39b33e8",1,"root","no rank",1,"","","","","","",""
"170","eaa2a72b235b6f20d84fe48f228772e38422222e",1,"root","no rank",1,"","","","","","",""
"171","09ae41715719e78df240276e8e9a831a0b414d13",1,"root","no rank",1,"","","","","","",""
"172","c5a621aaf81ac9b455706c36e638822d82f1c98a",1,"root","no rank",1,"","","","","","",""
"173","dd2177a5c7c6453f5903e9c0bc16c88923131285",1,"root","no rank",1,"","","","","","",""
"174","df4d3fc027677120cea8598ffba2bffd7d806c15",1,"root","no rank",1,"","","","","","",""
"175","a611500e4a123b1f044bb8d5acdd9f2b557f27d8",1,"root","no rank",1,"","","","","","",""
"176","b837d6740794c8866d448950ef477379d1ef1a62",1,"root","no rank",1,"","","","","","",""
"177","0a90996c3a7b940529d222f1f7eb40188ff5d2b1",1,"root","no rank",1,"","","","","","",""
"178","07e8d10d5d5c16136cbaf6c17e52cda818235b1e",1,"root","no rank",1,"","","","","","",""
"179","ee9644d61bbb07e8d5c0bd0dbc171ed9a0034731",1,"root","no rank",1,"","","","","","",""
"180","4c4cadb3f1fafa13ec11496a474b2a8e8983c78a",1,"root","no rank",1,"","","","","","",""
"181","c457d935b759cf4296cb01f65b5296a51b196a4f",1,"root","no rank",1,"","","","","","",""
"182","d9e859ee861b42f680add419f5054ce9076e549f",1,"root","no rank",1,"","","","","","",""
"183","b18e0d7e1fe5a7e13a2a25692f1348e5e9b45020",1,"root","no rank",1,"","","","","","",""
