"","NGN0277","NGN0278","NGN0279","NGN0280","NGN0281","NGN0282","NGN0283","NGN0284","NGN0285","NGN0286","NGN0287","NGN0288","NGN0289","NGN0290","NGN0291","NGN0292","NGN0293","NGN0294","NGN0295","NGN0296","NGN0297","NGN0298","NGN0300","NGN0301","NGN0360","NGN0361","NGN0362","NGN0363","NGN0364","NGN0365"
"NA__NA__NA__NA__NA__NA__NA__Seq_070",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_071",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_072",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_073",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Carnivora__Felidae__NA__NA__Seq_074",0,0,0,0,295,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3778,0
"NA__NA__NA__NA__NA__NA__NA__Seq_075",0,0,0,0,45,0,0,49,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_076",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_077",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_078",0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__NA__NA__Seq_079",0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_080",0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_081",0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_082",0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_083",0,0,0,0,18,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_084",0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_085",0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_086",0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_087",0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_088",0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_089",0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_090",0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_091",0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_092",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_093",0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_094",0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_095",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_096",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_097",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_098",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_099",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_100",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_101",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_102",0,0,0,0,0,473,0,457,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_103",0,0,0,0,0,269,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_104",0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA__Seq_105",0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_106",0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_107",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Seq_108",0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
"NA__NA__NA__NA__NA__NA__NA__Seq_109",0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_110",0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_111",0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_112",0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_113",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_114",0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_115",0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_116",0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_117",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_118",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
