"","NGN0277","NGN0278","NGN0279","NGN0280","NGN0281","NGN0282","NGN0283","NGN0284","NGN0285","NGN0286","NGN0287","NGN0288","NGN0289","NGN0290","NGN0291","NGN0292","NGN0293","NGN0294","NGN0295","NGN0296","NGN0297","NGN0298","NGN0300","NGN0301","NGN0360","NGN0361","NGN0362","NGN0363","NGN0364","NGN0365"
"Metazoa__Chordata__Actinopteri__Perciformes__Gasterosteidae__NA__NA__Taxon_46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2749,4121,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Gasterosteidae__NA__NA__Taxon_47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,272,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,148,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__NA__NA__Taxon_49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,621,70,0,0,0,0,376,0,0,72
"Metazoa__Chordata__NA__NA__NA__NA__NA__Taxon_50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,223,0,3,16,0,57,0,0
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__NA__NA__NA__NA__Taxon_52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Eulipotyphla__Soricidae__NA__NA__Taxon_53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8375,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Diprotodontia__NA__NA__NA__Taxon_55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_56",0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,19,0
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA__Taxon_57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0
"Metazoa__Chordata__NA__NA__NA__NA__NA__Taxon_59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,82,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,80,0,0,0,0,0,0,0,0,0,191
"Metazoa__Chordata__Aves__Galliformes__NA__NA__NA__Taxon_62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
