"","tmp.hash","tmp.tx"
"74","1280c44382007d9f5659a3babd259e3af3328fc7","Metazoa__Arthropoda__NA__NA__NA__NA__NA__Taxon_074"
"75","c1454308e87b98565e11548035ffc6ab18798ce1","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_075"
"76","27427157036103c0a19c44a691a7cb0bd0de8ea7","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_076"
"77","3ec5f92fcee67b703e80c31fb4e4f5e5bd9bd085","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_077"
"78","16cb22a0a6689553663e3a5766097cf8a7d3b824","Metazoa__Arthropoda__Insecta__Trichoptera__Limnephilidae__Onocosmoecus__Onocosmoecus unicolor__Taxon_078"
"79","9c059db1bceb5c385c5b59613b0d6cc2b2be5d01","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_079"
"80","0866ceaae0f8f297a30d4e385be5cf93eea08865","Metazoa__Platyhelminthes__NA__NA__NA__NA__NA__Taxon_080"
"81","61528bb2d1bafe11e62d86fec11cf9edb462820f","Metazoa__Arthropoda__Insecta__Plecoptera__Leuctridae__NA__NA__Taxon_081"
"82","3cfd8fdaab9646f969cccba4ef7fc30ecf188068","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_082"
"83","d613a4d70179aa98c5e4346145b1b84272bf8db8","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_083"
"84","9124a92fe414ff9fd1a28d77102532888da10105","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_084"
"85","6b629ca55c413015e1733f9593c04a4cc4339766","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_085"
"86","f11ca95dc07f5cecb757874ac6d1ce7b925abe80","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_086"
"87","8967b96073a7342b2c1fbfe710a2240c98ec7527","Metazoa__Nematoda__Chromadorea__NA__NA__NA__NA__Taxon_087"
"88","89e59904af8fb485f402bc1ce1958f4f81291d9d","Metazoa__Rotifera__Bdelloidea__NA__NA__Rotaria__NA__Taxon_088"
"89","c99faf119540603a6d0e5704a7c8b64499022cf2","Viridiplantae__NA__NA__NA__NA__NA__NA__Taxon_089"
"90","2acd52afe74b72d53eae1e8c1316bf889b3971be","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_090"
"91","f78df2aff4b80e762e2310db8553ed02d04dcb13","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_091"
"92","c1ac37a75b01a55dee922a50cb308d3f8093ca69","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_092"
"93","4787203f94034399c72927dccb016dd46aaa1509","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_093"
"94","44c9dc1b8a627e49e07e8632cda2d26a7b1f3230","Metazoa__Annelida__Clitellata__Haplotaxida__NA__NA__NA__Taxon_094"
"95","a636a580f705de00a3a5b97a55119b528effc66e","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_095"
"96","91f7c8ae15149ba8d6e29e1f0ee2d30fbd3efcbe","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_096"
"97","44712cf0b2ed8c2221c97c362e5aa65c05c28914","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_097"
"98","d90b91a84d55f728a11514aae22e23e8c3b4c70d","Fungi__NA__NA__NA__NA__NA__NA__Taxon_098"
"99","1c33a72c5f51ec9c46b33d9d2417f72e809d1fdc","Metazoa__Arthropoda__Insecta__Trichoptera__Hydropsychidae__NA__NA__Taxon_099"
"100","60c0069db8364a1927b01241550c3fd1f098158c","Metazoa__Arthropoda__NA__NA__NA__NA__NA__Taxon_100"
"101","5469b5bce91e7829cdcf8e0e011acbe4fd2a38e8","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_101"
"102","b1e9754a2ef170f071e66f47b01e4cdc037399ac","Fungi__NA__NA__NA__NA__NA__NA__Taxon_102"
"103","477b66afc8df26d36f761ecd7ea5150dfd9d4194","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_103"
"104","663afc2edb46a6a7eaa43015bca9d79d1255308a","Metazoa__Arthropoda__Collembola__NA__NA__NA__NA__Taxon_104"
"105","6b3c8ca2fc70c7d523f0520e36369a286def78b7","Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__Lumbricus__NA__Taxon_105"
"106","35b3c3cfc39c32e308fea3edab889f4eb6e4c0e8","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_106"
"107","e2f9eb37e845fa267aa8762249e6aa4d35681195","Metazoa__Mollusca__Gastropoda__NA__NA__NA__NA__Taxon_107"
"108","be7e9cba8aba506d59d0e2f0e29c84c910607eaa","Metazoa__Chordata__Aves__Passeriformes__Turdidae__Ixoreus__Ixoreus naevius__Taxon_108"
"109","1f7ded35c6078cb9df6df351842bc3b01832369e","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_109"
"110","817433dc7ea65eadb1d37d9367a5c291427354d5","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_110"
"111","3b238cb8de976b3460cbb0a3385a758a95cc28b7","Metazoa__Arthropoda__Insecta__Diptera__Chironomidae__NA__NA__Taxon_111"
"112","b45da2c78ff3f1348997bf5e3ddeb922fd68ef41","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_112"
"113","e9660825130b2f4f3f077c4088b580a4d44779e7","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_113"
"114","6c957d4e44518b2ca22da98a13f008a800e519d1","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_114"
"115","9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Taxon_115"
"116","8f2d818a2b1776bf9e2036c2901f534785ffb2d2","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_116"
"117","0343c802d4a9350f1c12392899237152750fb76b","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_117"
"118","bd2a9e7e6fd95ae301f37245d53c40f83d576426","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_118"
"119","c63d34ae61e4c23aa94cb7bc3dc3e3273f6470e8","Metazoa__Arthropoda__NA__NA__NA__NA__NA__Taxon_119"
"120","d919a076be6845ef57b8e56988400b119b71c8be","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_120"
"121","32accf27693b30b7e6ad4560d44bfdb3e40b20aa","Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_121"
"122","849990871b3609445e3c7332c43cf1ccb596cf6c","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_122"
"123","b2c31bca8d76ad236d0f835712130ef7b6f7488e","Metazoa__Arthropoda__Insecta__Coleoptera__Ptilodactylidae__Araeopidius__Araeopidius monachus__Taxon_123"
"124","66c868656df13a2df9fbd12727084acbef9351d8","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_124"
"125","184df3aca0a4b70f99ac63eb7b994e4f9a5139c1","Metazoa__Cnidaria__NA__NA__NA__NA__NA__Taxon_125"
"126","61812794836acd24cfc06c5d0395da7139f277da","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_126"
"127","7ecf64d3b640183a0f950a48c2e95ff8883f8b74","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_127"
"128","ac6242926dfd324721723811a72520799392ba93","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_128"
"129","2c641418fc7b271f8ae35c4e40fc9d1e4a187b4b","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_129"
"130","0fdff0b03f808b89db444cc6dc3932a97eec3dea","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_130"
"131","f0947f2d4c8769c00ba923f8ceb0b5ab844c3274","Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_131"
"132","dc3bd9ff5b1bfa23b48aca5ada5a273cfd27421c","Metazoa__Annelida__Clitellata__NA__NA__NA__NA__Taxon_132"
"133","4d6e2eb86d3cdddc51684ab7fbc2e589cb482734","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_133"
"134","dfe3be51bc8158d486259d23c8976bd0c51a0a1a","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_134"
"135","806de5eb6a7d7883a0e66f5b6f81a2e4586f4066","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_135"
"136","73a69eeb97d27913d795d4d0faab2bd37d06434b","Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA__Taxon_136"
"137","1c8e0e539bb2671f3039bf4ce04d0d29f9e9e684","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_137"
"138","ac6c1f651070ee26376d91832c851434da0129e9","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_138"
"139","3909757724d4b050aaacc296bc082e6d0571d654","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_139"
"140","d44d76792619069bad7076fd4cc8fd5094e5a318","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_140"
"141","40c7d10c2d23753bfef211a3a51a4a66b78e2b89","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_141"
"142","8d219eeee4b2e1291d46cb46bc5fc6d3ded6d757","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_142"
"143","1676c7ffa7a3492f6cd4b0e15b5705ded921d5b9","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_143"
"144","d0718c0f4a66ec560127778b9f3e54f1ee407a16","Metazoa__Arthropoda__NA__NA__NA__NA__NA__Taxon_144"
"145","6a18f25475a53068bebb6546eb1fc42c3f92cb10","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_145"
"146","f320d8af1305da8f0745081561b9cd80818e3565","Metazoa__Arthropoda__Insecta__Hemiptera__Pentatomidae__Banasa__Banasa dimiata__Taxon_146"
"147","2128fa112b806700479880e5f19119bb772b1534","Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__Dendrobaena__Dendrobaena octaedra__Taxon_147"
"148","1338e833c5cc106a1a22f39c43f4ac3db7cb6270","Metazoa__Chordata__NA__NA__NA__NA__NA__Taxon_148"
"149","069b7cb04ad71314dfe0d4d086791f5565208ebd","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_149"
"150","632cbd3f2fd6be3231b54d875f288001d25a599d","Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_150"
"151","bdc781ddba573747b3b8019fbeb1ce6a5ceb1f0e","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_151"
"152","5df5cb6bccb3fd7c2078c9fbaa054dfa2033ad2a","Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_152"
"153","c7ec1235517f44e78bf884eaddb1cf1afe843fc4","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_153"
"154","040201cb1b371ec406026a96a2b7a957a65dbd83","Fungi__NA__NA__NA__NA__NA__NA__Taxon_154"
"155","ae6c6c1183fb38dd7a35bf4fb6a8a662d7f33a92","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_155"
"156","d160504ccbf73ac2bf2ae353868014b4532a5291","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_156"
"157","0c672cc6bf166d82ea9ac52ca1c884123c54b827","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_157"
"158","d911e1fcd00b6691686a20be2aa103c83cd96320","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_158"
"159","dfaab8c19590a681bef7cbfd8ad8880749cb8c49","Metazoa__Arthropoda__Insecta__Diptera__Simuliidae__NA__NA__Taxon_159"
"160","5b2a1bc9268a7d7abcd8ca4444011d5d0149b4c5","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_160"
"161","d097690cf87505c57bccb78f672cfa68ac136e51","Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__Dendrodrilus__Dendrodrilus rubidus__Taxon_161"
"162","36331ecce3e036747f7b57f19a6243a65780c77a","Metazoa__Annelida__Clitellata__NA__NA__NA__NA__Taxon_162"
"163","61955126f0ef83dd01e00edbded20d1894139ebc","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_163"
"164","40b2d1f0cd5408e68adb8ac851cbe7aab4b716a3","Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_164"
"165","d3d33593df53100266e5bcf914ecc37ed86a87c2","Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__Aporrectodea__Aporrectodea caliginosa L3__Taxon_165"
"166","92091bd976f9067f4d86d16ff6b528d6380273c4","Metazoa__Rotifera__Monogononta__Ploima__Synchaetidae__Synchaeta__NA__Taxon_166"
"167","9d486fe38d3494900f45fbde40a2cd03108274e2","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_167"
"168","8035f536087e409b4e8a3034edc9f272954f18f1","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_168"
"169","b1762d18fa1ffa49fbcbf4c129537564d91383d9","Metazoa__Annelida__Clitellata__Haplotaxida__NA__NA__NA__Taxon_169"
"170","b45c149f98b6662192130ca12ccde91e3afe0a48","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_170"
"171","2931118aec7579e053f089e86038e934ec516500","Metazoa__Arthropoda__Collembola__NA__NA__NA__NA__Taxon_171"
"172","a060798ac28f01fda80b84d2bfe6c5e1a2c20318","Metazoa__Arthropoda__NA__NA__NA__NA__NA__Taxon_172"
"173","719b45c61f09151537e6913dcbf6a2b50448fe4a","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_173"
"174","0c785e67fbab129bdfdbb85e511e89aa314f8a72","Metazoa__Arthropoda__Insecta__Diptera__Simuliidae__NA__NA__Taxon_174"
"175","ae25737af6ab2c687e171d5788a8f71d86bf1dd4","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_175"
"176","b4ce0f934ba9cce4848492618d9e8ad0445ee1b1","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_176"
"177","2eac659adc67d6e4f458ee561f58f63db9c84f1b","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_177"
"178","ef23998181b28ea853095685ea23d8cfb6a8c855","Metazoa__Arthropoda__NA__NA__NA__NA__NA__Taxon_178"
"179","ad4dc65f39ab6257723c72863e70d00d0a474953","Metazoa__Annelida__Clitellata__Haplotaxida__NA__NA__NA__Taxon_179"
"180","4ed9024be3208b04a4bb51871235e7f0b0c3d8ba","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_180"
"181","51ac926ebeec851f3e73adb2b337c6401c0bca0e","Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_181"
"182","2007d8e7af217c1e8161d76fd5f94694de7699d7","Metazoa__Arthropoda__Insecta__Diptera__Simuliidae__NA__NA__Taxon_182"
"183","75152b6aad76a8bbbf4f93051c3d0767f9c305f4","Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_183"
"184","e3ae1d0c4c9485d6553e61d67915fac140515e83","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_184"
"185","cbbe5495061e8d2e301cfa9477f0e5fbfcbb0d12","Fungi__NA__NA__NA__NA__NA__NA__Taxon_185"
"186","30880ef85396cfbf10f0f44c6667202f4070b575","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_186"
"187","2cb81a77d29f9d28ce1f44816030eb5bc64888b8","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_187"
"188","6c627845a88d200f44ba995ef4221faf1ababd30","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_188"
"189","bde8a2ae14ebc2fcd5d249c19fbf392bf0425566","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_189"
"190","5cc9d018e79b424f32c95dd1220244dc16c6ea90","Metazoa__Mollusca__NA__NA__NA__NA__NA__Taxon_190"
"191","ecd5372f56faedd6457040a9a38c760af3f65e8f","Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__Sciurus__NA__Taxon_191"
"192","faa6652ae5f68953cb28ea290f233ab8ad0d2ccb","Fungi__NA__NA__NA__NA__NA__NA__Taxon_192"
"193","f9e9d6c30fffc1de42898a36b14134b1c77bc441","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_193"
"194","435468aa4c9ebab6bb8334c41d76c5ed44b121e5","Metazoa__Arthropoda__NA__NA__NA__NA__NA__Taxon_194"
"195","6e82c476e822510195002ebcd69b63ea6ca3f12e","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_195"
"196","8673d1d980159a679d6991b546a3e009c77eadce","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_196"
"197","9ae31a18b3d2a82557d6facf025b01fa4149f532","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_197"
"198","57e9241b385d3e4c52623209fab4ba58a4be0e9e","Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_198"
