"","COI.0421.2Brn.Up.1","COI.0421.2Brn.Up.3","COI.0421.3Chk.Dn.1","COI.0421.4Pad.Up11.3","COI.0421.5Sqm.Dn.2","COI.0421.5Sqm.Up.2","COI.0821.3Chk.Up.2","COI.0821.4Pad.Dn.1","COI.0821.4Pad.Up11.1","COI.0821.4Pad.Up5.2","COI.Kangaroo.Run.2"
"Metazoa__Chordata__Amphibia__NA__NA__NA__NA__Taxon_071",0,44,0,0,0,0,7,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_072",0,5,16,0,14,5,4,0,0,0,0
"Metazoa__Nematoda__Chromadorea__Rhabditida__Aphelenchoididae__NA__NA__Taxon_073",0,40,0,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__NA__NA__NA__NA__NA__Taxon_074",0,35,11,0,0,0,0,0,0,13,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_075",0,31,0,0,14,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_076",0,9,0,0,0,0,22,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_077",0,15,0,0,8,6,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Trichoptera__Limnephilidae__Onocosmoecus__Onocosmoecus unicolor__Taxon_078",0,28,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_079",0,15,0,0,0,0,0,0,0,12,0
"Metazoa__Platyhelminthes__NA__NA__NA__NA__NA__Taxon_080",0,25,0,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Plecoptera__Leuctridae__NA__NA__Taxon_081",0,25,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_082",4,23,17,0,0,8,16,0,0,9,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_083",0,16,7,0,12,9,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_084",0,19,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_085",6,9,10,0,0,0,4,0,0,4,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_086",0,25,11,0,0,0,0,0,0,0,0
"Metazoa__Nematoda__Chromadorea__NA__NA__NA__NA__Taxon_087",0,18,0,0,0,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__Rotaria__NA__Taxon_088",0,18,0,0,0,0,0,0,0,0,0
"Viridiplantae__NA__NA__NA__NA__NA__NA__Taxon_089",0,8,16,0,0,0,0,0,0,10,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_090",0,16,0,0,0,0,0,0,0,6,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_091",0,16,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_092",0,14,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_093",0,12,0,0,0,0,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__NA__NA__NA__Taxon_094",0,12,5,0,0,0,0,0,0,11,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_095",0,12,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_096",0,12,0,10,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_097",0,11,0,0,0,0,0,0,0,0,0
"Fungi__NA__NA__NA__NA__NA__NA__Taxon_098",0,10,0,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Trichoptera__Hydropsychidae__NA__NA__Taxon_099",0,10,0,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__NA__NA__NA__NA__NA__Taxon_100",0,10,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_101",0,6,0,0,0,0,0,0,0,4,0
"Fungi__NA__NA__NA__NA__NA__NA__Taxon_102",0,12,0,0,0,0,0,0,0,9,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_103",0,9,0,0,0,0,2,0,0,0,0
"Metazoa__Arthropoda__Collembola__NA__NA__NA__NA__Taxon_104",0,6,0,3,0,0,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__Lumbricus__NA__Taxon_105",0,8,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_106",0,8,0,0,0,5,0,0,0,0,0
"Metazoa__Mollusca__Gastropoda__NA__NA__NA__NA__Taxon_107",0,8,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Passeriformes__Turdidae__Ixoreus__Ixoreus naevius__Taxon_108",0,8,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_109",0,8,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_110",0,8,0,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Diptera__Chironomidae__NA__NA__Taxon_111",0,8,0,0,0,3,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_112",0,6,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_113",0,6,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_114",0,6,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Taxon_115",0,6,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_116",0,6,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_117",0,6,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_118",0,6,0,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__NA__NA__NA__NA__NA__Taxon_119",0,5,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_120",0,5,0,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_121",0,5,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_122",0,5,0,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Coleoptera__Ptilodactylidae__Araeopidius__Araeopidius monachus__Taxon_123",0,5,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_124",0,5,0,0,0,0,0,0,0,0,0
