"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"80","841cd28515e2ca52ff9f6d14b48452ce461986b2",1,"root","no rank",1,"","","","","","",""
"81","a1ed791f83e486039356119ee8bc79d62aa024ee",1,"root","no rank",1,"","","","","","",""
"82","fcf6250154879460222d28e67451aef8a3717765",1,"root","no rank",1,"","","","","","",""
"83","475186fcdc183bd0a032f938c4add45da4606c10",1,"root","no rank",1,"","","","","","",""
"84","4115ee1cadcd375713b30c75e01abb278c4d2ecb",504568,"Salmoninae","subfamily",0.9958,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"85","33eba3f35b603c507f35b952e36e28eeb47919aa",1,"root","no rank",1,"","","","","","",""
"86","3db492f4716a04f894bceb195ec2df6c0ff627ce",9319,"Osphranter robustus","species",0.9934,"Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","Osphranter","Osphranter robustus"
"87","957016661a3e58b518579a780d1d78ece8f2e4e8",1,"root","no rank",1,"","","","","","",""
"88","831e18b9d7b06083528be1480197f7ad27192cea",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"89","30309ef1d1b18cf25e6b27f552bfe7bb2987976a",1,"root","no rank",1,"","","","","","",""
"90","e03858578b24fafc28e8fd2f7bf2d9db56465f3e",1,"root","no rank",1,"","","","","","",""
"91","75de3f47492b9fa206618b7b6287fb0ed5ef27d6",1,"root","no rank",1,"","","","","","",""
"92","8c8c49457d0f54e12243f04dc330599907338024",1,"root","no rank",1,"","","","","","",""
"93","445504a68c7d0c288ae4240eaa54530d832cacb6",7996,"Ictaluridae","family",0.9998,"Metazoa","Chordata","Actinopteri","Siluriformes","Ictaluridae","",""
"94","4846873e56f126f0bdde8b02d35192e9ce53e5f0",1,"root","no rank",1,"","","","","","",""
"95","a0c2e7cbad7bbe0b97f572d9a9aa8eb2b59c0f6b",504568,"Salmoninae","subfamily",0.9997,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"96","08c79b0be594a12b12743136f1fcdcbaa5d91d9b",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"97","d9ff6ae3705c5449536d07ad8c33472fe15d147d",1,"root","no rank",1,"","","","","","",""
"98","543d26f3650a9ec21ded51baa7fa8ee19d834948",1,"root","no rank",1,"","","","","","",""
"99","29e283f87e3e215f895624fea13f06701a790b3d",1,"root","no rank",1,"","","","","","",""
"100","1204902d9ad804c9b1e6b0e30368dcbb84c617cc",1,"root","no rank",1,"","","","","","",""
"101","aa1a9c561aff3aedb076e617010399e8178046a1",9611,"Canis","genus",0.9975,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"102","34821f34bef0e45754e300b076510329811eb0b4",1,"root","no rank",1,"","","","","","",""
"103","6238b8bebf9135640e8394884f52e8245a221344",1,"root","no rank",1,"","","","","","",""
"104","29e0bb6ebc9f4211e2c94ef0a6df059764c2b6f8",1,"root","no rank",1,"","","","","","",""
"105","5b9709ef11f333dd40b1d8c9641074a1309aff2e",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"106","76fb433462584bf34f270d08f0203cad1a3c0bee",9606,"Homo sapiens","species",0.9983,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"107","c51c4e8ee9da185eacdee677839a5bc352ad5ee1",1,"root","no rank",1,"","","","","","",""
"108","dbd5a1c18b17fc8f1a0378de28f9f253227103ce",1,"root","no rank",1,"","","","","","",""
"109","b3a96002db5c0443714a4aa0a54e9bac86e83a28",1,"root","no rank",1,"","","","","","",""
"110","a240d8dad4a4854b5434781e8900441fd99680e0",1,"root","no rank",1,"","","","","","",""
"111","20eea12b700ea0e1360f07a77a4aa1dec09f8ca6",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"112","fc1ca10fcc86596f55d3bfafea8f018abc420da6",1,"root","no rank",1,"","","","","","",""
"113","9d8e2aad3b679722a4fedce005c2f55b810c3610",1,"root","no rank",1,"","","","","","",""
"114","7d5c7f8f234bd2b45b567dcd841f57fbf7f83421",1,"root","no rank",1,"","","","","","",""
"115","60e19244c96a44cd61ded0f27767b11476164500",1,"root","no rank",1,"","","","","","",""
"116","361b16ed1285506e0c7f20d32bd4514cb0a5ba69",1,"root","no rank",1,"","","","","","",""
