,MiMammal.0321.1Prt.Dn.1,MiMammal.0321.1Prt.Dn.2,MiMammal.0321.4Pad.Up11.1,MiMammal.0321.2Brn.Up.3,MiMammal.0321.5Sqm.Dn.1,MiMammal.0321.5Sqm.Up.1,MiMammal.0321.5Sqm.Up.2,MiMammal.0321.2Brn.Up.1TR2,MiMammal.0321.2Brn.Up.1TR3,MiMammal.0421.1Prt.Dn.3,MiMammal.0421.1Prt.Up.1,MiMammal.0421.1Prt.Up.2,MiMammal.0421.2Brn.Dn.2,MiMammal.0421.2Brn.Dn.3,MiMammal.0421.2Brn.Up.2,MiMammal.0421.2Brn.Up.3,MiMammal.0421.3Chk.Up.2,MiMammal.0421.3Chk.Up.3,MiMammal.0421.4Pad.Dn.2,MiMammal.0421.5Sqm.Dn.2,MiMammal.0421.5Sqm.Dn.3,MiMammal.0421.5Sqm.Up.1,MiMammal.0421.5Sqm.Up.2,MiMammal.0821.1Prt.Dn.2,MiMammal.0821.1Prt.Dn.3,MiMammal.0821.1Prt.Up.2,MiMammal.0821.2Brn.Up.1,MiMammal.0821.3Chk.Dn.1,MiMammal.0821.3Chk.Dn.3,MiMammal.0821.3Chk.Up.3,MiMammal.0821.4Pad.Up11.3,MiMammal.0821.4Pad.Up5.2,MiMammal.0821.5Sqm.Up.3,MiMammal.0821.4Pad.Up5.2TR2,MiMammal.0821.4Pad.Up5.2TR3,MiMammal.0421.Kangaroo
NA__NA__NA__NA__NA__NA__NA__Seq_0216,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0217,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__NA__NA__NA__NA__NA__NA__Seq_0218,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Carnivora__Procyonidae__Procyon__Procyon lotor__Seq_0219,0,0,0,0,0,0,0,0,0,3158,0,2598,0,0,0,0,0,0,0,0,0,0,0,1311,1950,0,0,0,0,0,8189,0,0,2413,2843,0
Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_0220,0,0,0,0,0,0,0,0,0,7298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Seq_0221,0,0,0,0,0,0,0,0,0,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Seq_0222,0,0,0,0,0,0,0,0,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0223,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_0224,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0225,0,0,0,0,0,0,0,0,0,16,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0226,0,0,0,0,0,0,0,0,0,8,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_0227,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_0228,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Aves__Passeriformes__Corvidae__NA__NA__Seq_0229,0,0,0,0,0,0,0,0,0,15,0,0,0,0,9,0,0,0,105,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA__Seq_0230,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Seq_0231,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0232,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_0233,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0234,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0235,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0236,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0237,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0238,0,0,0,0,0,0,0,0,0,0,24,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_0239,0,0,0,0,0,0,0,0,0,0,1782,1874,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_0240,0,0,0,0,0,0,0,0,0,0,1798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,0,0,988,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0241,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0242,0,0,0,0,0,0,0,0,0,0,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0243,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA__Seq_0244,0,0,0,0,0,0,0,0,0,0,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0245,0,0,0,0,0,0,0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA__Seq_0246,0,0,0,0,0,0,0,0,0,0,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0247,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0248,0,0,0,0,0,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0249,0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_0250,0,0,0,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0251,0,0,0,0,0,0,0,0,0,0,100,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0252,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0253,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0254,0,0,0,0,0,0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0255,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0256,0,0,0,0,0,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_0257,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0258,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Seq_0259,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0260,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0261,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0262,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0263,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0264,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0265,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Seq_0266,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0267,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Seq_0268,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0269,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0270,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0271,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0272,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0273,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0274,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA__Seq_0275,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA__Seq_0276,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0277,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0278,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0279,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0280,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Seq_0281,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0282,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0283,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0284,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0285,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0286,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0287,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0288,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0289,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0290,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0291,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0292,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0293,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0294,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0295,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0296,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0297,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0298,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0299,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0300,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0301,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0302,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0303,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0304,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0305,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0306,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0307,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0308,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0309,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0310,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0311,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0312,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0313,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0314,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0315,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0316,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0317,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0318,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0319,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0320,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0321,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0322,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0323,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0324,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0325,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0326,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0327,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0328,0,0,0,0,0,0,0,0,0,0,0,152,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Metazoa__Chordata__Aves__Passeriformes__Fringillidae__Haemorhous__Haemorhous mexicanus__Seq_0329,0,0,0,0,0,0,0,0,0,0,0,1735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0330,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0331,0,0,0,0,0,0,0,0,0,0,0,46,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0332,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_0333,0,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0334,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA__Seq_0335,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_0336,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0337,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_0338,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0339,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0340,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__NA__NA__Seq_0341,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0342,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0343,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
