,MiMammal.0321.1Prt.Dn.1,MiMammal.0321.1Prt.Dn.2,MiMammal.0321.4Pad.Up11.1,MiMammal.0321.2Brn.Up.3,MiMammal.0321.5Sqm.Dn.1,MiMammal.0321.5Sqm.Up.1,MiMammal.0321.5Sqm.Up.2,MiMammal.0321.2Brn.Up.1TR2,MiMammal.0321.2Brn.Up.1TR3,MiMammal.0421.1Prt.Dn.3,MiMammal.0421.1Prt.Up.1,MiMammal.0421.1Prt.Up.2,MiMammal.0421.2Brn.Dn.2,MiMammal.0421.2Brn.Dn.3,MiMammal.0421.2Brn.Up.2,MiMammal.0421.2Brn.Up.3,MiMammal.0421.3Chk.Up.2,MiMammal.0421.3Chk.Up.3,MiMammal.0421.4Pad.Dn.2,MiMammal.0421.5Sqm.Dn.2,MiMammal.0421.5Sqm.Dn.3,MiMammal.0421.5Sqm.Up.1,MiMammal.0421.5Sqm.Up.2,MiMammal.0821.1Prt.Dn.2,MiMammal.0821.1Prt.Dn.3,MiMammal.0821.1Prt.Up.2,MiMammal.0821.2Brn.Up.1,MiMammal.0821.3Chk.Dn.1,MiMammal.0821.3Chk.Dn.3,MiMammal.0821.3Chk.Up.3,MiMammal.0821.4Pad.Up11.3,MiMammal.0821.4Pad.Up5.2,MiMammal.0821.5Sqm.Up.3,MiMammal.0821.4Pad.Up5.2TR2,MiMammal.0821.4Pad.Up5.2TR3,MiMammal.0421.Kangaroo
NA__NA__NA__NA__NA__NA__NA__Seq_0055,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0056,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0057,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0058,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0059,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0060,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0061,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0062,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_0063,0,0,40052,2924,12242,21292,6093,67,42,26974,7447,14489,34276,19671,19870,45048,13097,60662,11234,15670,25222,50239,20126,5950,1391,29106,9257,2371,6134,10019,1069,19866,601,31567,31096,0
Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__Cottus__NA__Seq_0064,0,0,1948,0,0,0,0,0,0,0,0,0,0,0,571,0,0,0,7044,0,0,0,0,0,0,0,0,0,0,0,86,1994,0,0,0,0
Metazoa__Chordata__Mammalia__Carnivora__Felidae__Lynx__Lynx rufus__Seq_0065,0,0,3,47517,0,0,0,61923,56748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0066,0,0,311,0,11,0,12,0,0,0,0,0,0,0,65,0,0,0,1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus mykiss__Seq_0067,0,0,4003,0,0,0,271,0,0,0,0,0,0,0,89,0,0,42,1342,27,0,17,0,0,0,0,0,529,0,0,4483,0,0,41,216,0
Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Seq_0068,0,0,1179,0,344,658,844,0,0,784,241,374,967,575,606,1404,432,1825,382,469,671,1489,593,138,0,815,0,0,0,334,0,609,0,961,1024,0
Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA__Seq_0069,0,0,2330,0,0,0,0,0,18,2308,0,0,0,1258,0,0,4602,75,0,175,0,0,0,0,505,0,0,0,0,0,0,0,0,2934,0,0
Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_0070,0,0,1251,0,0,0,0,0,0,0,0,0,0,2462,0,0,0,0,0,0,0,284,406,0,0,0,0,0,0,0,0,0,283,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0071,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0072,0,0,111,0,0,0,0,0,0,0,163,0,194,0,15,0,13,0,126,0,0,0,0,5,0,0,13,12,0,0,8,724,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0073,0,0,26,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0074,0,0,153,0,0,20,0,0,0,0,0,0,0,0,17,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Aves__Galliformes__Phasianidae__NA__NA__Seq_0075,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1208,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,606,0
Metazoa__Chordata__Mammalia__Artiodactyla__Bovidae__Ovis__NA__Seq_0076,0,0,2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Carnivora__Mustelidae__Neovison__Neovison vison__Seq_0077,0,0,1636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0078,0,0,11,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0079,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0080,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
