,MiMammal.0321.1Prt.Dn.1,MiMammal.0321.1Prt.Dn.2,MiMammal.0321.4Pad.Up11.1,MiMammal.0321.2Brn.Up.3,MiMammal.0321.5Sqm.Dn.1,MiMammal.0321.5Sqm.Up.1,MiMammal.0321.5Sqm.Up.2,MiMammal.0321.2Brn.Up.1TR2,MiMammal.0321.2Brn.Up.1TR3,MiMammal.0421.1Prt.Dn.3,MiMammal.0421.1Prt.Up.1,MiMammal.0421.1Prt.Up.2,MiMammal.0421.2Brn.Dn.2,MiMammal.0421.2Brn.Dn.3,MiMammal.0421.2Brn.Up.2,MiMammal.0421.2Brn.Up.3,MiMammal.0421.3Chk.Up.2,MiMammal.0421.3Chk.Up.3,MiMammal.0421.4Pad.Dn.2,MiMammal.0421.5Sqm.Dn.2,MiMammal.0421.5Sqm.Dn.3,MiMammal.0421.5Sqm.Up.1,MiMammal.0421.5Sqm.Up.2,MiMammal.0821.1Prt.Dn.2,MiMammal.0821.1Prt.Dn.3,MiMammal.0821.1Prt.Up.2,MiMammal.0821.2Brn.Up.1,MiMammal.0821.3Chk.Dn.1,MiMammal.0821.3Chk.Dn.3,MiMammal.0821.3Chk.Up.3,MiMammal.0821.4Pad.Up11.3,MiMammal.0821.4Pad.Up5.2,MiMammal.0821.5Sqm.Up.3,MiMammal.0821.4Pad.Up5.2TR2,MiMammal.0821.4Pad.Up5.2TR3,MiMammal.0421.Kangaroo
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_031,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA__Taxon_032,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_033,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_034,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__NA__NA__NA__NA__NA__NA__Taxon_035,0,0,0,4213,0,0,0,311,377,0,0,28,114,32610,21371,8972,691,305,4,0,0,0,0,91,77,1360,59649,26560,15714,1314,0,0,0,578,555,0
Metazoa__Chordata__Mammalia__Artiodactyla__Cervidae__NA__NA__Taxon_036,0,0,0,1647,25447,9835,1796,253,450,0,0,2578,0,0,0,0,0,0,0,0,718,55,1175,0,0,0,0,0,0,0,4561,0,0,0,992,0
Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Taxon_037,0,0,0,796,0,535,0,0,0,0,0,0,8871,1034,420,3513,0,0,5567,2131,1546,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Carnivora__Felidae__NA__NA__Taxon_038,0,0,0,1374,0,0,0,1796,1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Carnivora__Felidae__NA__NA__Taxon_039,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Taxon_040,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Carnivora__Felidae__NA__NA__Taxon_041,0,0,0,193,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__Pimephales__Pimephales promelas__Taxon_042,0,0,0,0,812,693,2643,0,0,0,0,0,0,0,0,0,0,0,0,1169,858,96,1316,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__NA__NA__NA__NA__NA__NA__Taxon_043,0,0,0,0,11206,3030,7457,0,0,1933,0,0,0,0,0,0,0,0,0,3793,13697,3362,11992,0,869,0,0,0,0,0,5960,0,0,1793,0,0
Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA__Taxon_044,0,546,0,0,6006,2278,510,0,0,1827,4644,5780,0,0,0,0,21193,161,0,13029,5437,1341,14530,579,807,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_045,0,0,0,0,90,0,92,0,0,96,0,153,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,876,1404,1298,0,0,860,0,0,0
Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Taxon_046,0,0,0,0,8787,2427,2402,0,0,0,0,2382,0,4852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Siluriformes__Ictaluridae__Ameiurus__Ameiurus nebulosus__Taxon_047,0,0,0,0,435,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,320,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Lagomorpha__Leporidae__Sylvilagus__NA__Taxon_048,0,0,0,0,4668,1771,1749,0,0,0,0,0,0,2323,0,0,0,0,0,0,241,30,0,0,913,0,0,0,0,0,0,0,0,1522,0,0
Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA__Taxon_049,0,0,0,0,256,34,211,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Aves__Anseriformes__Anatidae__Cygnus__NA__Taxon_050,0,0,0,0,4578,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Aves__Anseriformes__Anatidae__Branta__Branta canadensis__Taxon_051,0,0,0,0,1296,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,30,185,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Aves__Pelecaniformes__Ardeidae__NA__NA__Taxon_052,0,0,0,0,36,0,0,0,0,0,0,0,0,0,19,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Taxon_053,0,0,0,0,116,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__NA__NA__NA__NA__NA__NA__Taxon_054,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0
Metazoa__Chordata__Mammalia__Carnivora__Canidae__NA__NA__Taxon_055,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_056,0,0,0,0,43,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Aves__Anseriformes__Anatidae__Mareca__NA__Taxon_057,0,0,0,0,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Carnivora__Procyonidae__Procyon__NA__Taxon_058,0,0,0,0,0,1015,1166,0,0,0,0,0,0,0,0,0,0,0,15,0,0,81,0,74,1186,0,0,0,0,0,0,0,2539,4034,8673,0
Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_059,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__NA__NA__NA__NA__NA__NA__Taxon_060,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Taxon_061,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Taxon_062,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Taxon_063,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Rodentia__NA__NA__NA__Taxon_064,0,0,0,0,0,0,8483,0,0,0,0,0,0,2300,5,0,4448,0,137,1186,337,142,2994,35715,33801,13252,0,0,0,0,5766,0,0,2266,7988,0
Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA__Taxon_065,0,0,0,0,0,0,11626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Artiodactyla__Suidae__Sus__Sus scrofa__Taxon_066,0,0,0,0,0,0,1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,9829,0,0,610,0,0
Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_067,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,49,0,0,36,0,0,0
Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_068,0,0,0,0,0,123,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_069,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Taxon_070,0,0,0,0,0,0,0,28,0,0,0,2544,0,0,0,0,1613,0,0,584,0,0,0,0,0,0,0,1593,0,0,0,0,57,4796,4603,0
Metazoa__Chordata__Mammalia__Carnivora__NA__NA__NA__Taxon_071,0,0,0,0,0,0,0,23,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Carnivora__Felidae__NA__NA__Taxon_072,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Carnivora__Procyonidae__Procyon__Procyon lotor__Taxon_073,0,0,0,0,0,0,0,0,0,3158,0,2598,0,0,0,0,0,0,0,0,0,0,0,1311,1950,0,0,0,0,0,8189,0,0,2413,2843,0
Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Taxon_074,0,0,0,0,0,0,0,0,0,7298,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_075,0,0,0,0,0,0,0,0,0,699,279,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Taxon_076,0,0,0,0,0,0,0,0,0,2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Taxon_077,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Aves__Passeriformes__Corvidae__NA__NA__Taxon_078,0,0,0,0,0,0,0,0,0,15,0,0,0,0,9,0,0,0,105,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_079,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_080,0,0,0,0,0,0,0,0,0,176,1782,1874,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_081,754,213,0,0,0,0,133,0,0,0,2120,291,0,0,0,0,0,0,0,154,0,0,863,0,0,0,0,225,0,0,1192,0,0,1025,74,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_082,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_083,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Aves__Passeriformes__Fringillidae__Haemorhous__Haemorhous mexicanus__Taxon_084,0,0,0,0,0,0,0,0,0,0,0,1735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
