"","NGN0302","NGN0303","NGN0304","NGN0305","NGN0306","NGN0307","NGN0308","NGN0309","NGN0310","NGN0311","NGN0312","NGN0313","NGN0314","NGN0315","NGN0316","NGN0317","NGN0318","NGN0319","NGN0320","NGN0321","NGN0322","NGN0323","NGN0324","NGN0325","NGN0326","NGN0327","NGN0328","NGN0329","NGN0330","NGN0331","NGN0332","NGN0333","NGN0334","NGN0335","NGN0336","NGN0337","NGN0338","NGN0339"
"814bd62cd7f0891ddea80fac0be25f86af95d790",0,0,0,0,0,0,0,1614,4181,595,0,0,0,0,0,0,0,0,0,0,0,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d15e926efd8720231adb32a8b4e6e40608827676",0,0,0,0,0,0,0,577,0,790,0,0,0,0,0,0,0,0,0,0,0,2146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7ed525639c40b9418b4743e59f833fa5b3bdf355",0,0,0,0,0,0,0,678,1103,0,0,0,0,0,0,0,0,0,0,0,0,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c6cb649a3099b3f66e1d20dc768f63c3c58f8ef4",0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5a40ba128affb337e0f4ef136d888fd9001599dd",0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96a41542ada1cc55d3d1b24d01af3c73a716b1fb",0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"529f581127d024d7152ed1c49483afc60c01d7df",0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a820f46079cee471a98a4d886b3e769808e0036c",0,0,0,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0af50c9e935876232e242db91bb835235691bf3a",0,0,0,0,0,0,0,0,51,0,876,1812,2989,2802,0,4017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5c024b1d5c5f25af45599d69bd92b8837b2ba62f",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0
"94b310b913e0d26c0720e1775a3f2a7f2dd6af18",0,0,0,0,0,0,0,0,142,0,0,0,0,0,931,1775,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,28,200,155,161,0
"c97e97dd370a3e3ca252ca2d707bcc664355acb4",0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2eb18eaf3053e4bb306b47b42bd9c34863aef20b",0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,71,32,0
"f508aa2c7ac6fb7774bd234785a5d5a0d9bfe1af",0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fc592495969e1177a7b4528bb777a91a5ff79dc7",0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"be1bd85cbedd796b3b70618ed8248f5c66768c49",0,0,0,0,0,0,0,0,0,0,1159,1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14642c5a02ce5589b6be0bc27e5163c3fef40760",0,0,0,0,0,0,0,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f9be645b97427fce55b25c209cad9ca860dd2747",0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30742d31b3cc7a387b96133d0998ecee07c83597",0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d375db6821a4402acdeffb3d216d4abdc355cd48",0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,0,0,0,0,0
