"","tmp.hash","tmp.tx","wholetax.tg"
"56","e3f94823c5b562c70b6976a56b257d07f347300a","Taxon_56","Metazoa__Chordata__Aves__Passeriformes__Sylviidae__Regulus__Regulus calendula"
"57","b908492eedd74ed009124ee18af389c02f8008a3","Taxon_57","Metazoa__Chordata__Actinopteri__Perciformes__NA__NA__NA"
"58","acb132e82e2ef43f8eac6c7e5dd85c551168b718","Taxon_58","Metazoa__Chordata__Mammalia__Eulipotyphla__Soricidae__NA__NA"
"59","eccfd48eb4674a8cfcb69e95f0a2b4abc5a80ea8","Taxon_59","Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__Canis lupus"
"60","8cef7b027e960afaa1b27b3dae54739f50c9639a","Taxon_60","Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA"
"61","82c076775078679d1b4935f169e44159e0478e47","Taxon_61","Metazoa__Chordata__Actinopteri__Perciformes__NA__NA__NA"
"62","d4fd9f42d34c453c51322f2abd76a00d64997106","Taxon_62","Metazoa__Chordata__Actinopteri__Perciformes__NA__NA__NA"
"63","435a838b2b2c319f8a742430f1bc4b092e22cadc","Taxon_63","Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA"
"64","5d2be06aa1ff742a96eae7b10b30f83e45e7047a","Taxon_64","Metazoa__Chordata__Aves__NA__NA__NA__NA"
"65","660b777a1ee8cbb8bc7ed178567b1aad1dbf7904","Taxon_65","Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA"
"66","4b6b740f9b6d0ae003c5b1ee2bb36f4a9766dd3b","Taxon_66","Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA"
"67","358d0def35bc8bcf2711011fb63f7fc511496cc5","Taxon_67","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"68","dc78ea7000749cdaa33f9199c52df6f0f90be099","Taxon_68","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"69","01e3fcb5701376d370dbddd0edfcf71017f9185d","Taxon_69","Metazoa__Chordata__Mammalia__Chiroptera__Vespertilionidae__Myotis__NA"
"70","a030c863a77b1256e92660407699546af98e83e3","Taxon_70","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"71","ca63b9c36ce7e668fd43cabb3ca7ac3ae440e17e","Taxon_71","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"72","9a33de19684dd94fef15cc285fa6e9a6a7284e64","Taxon_72","Metazoa__Chordata__Mammalia__Eulipotyphla__Soricidae__NA__NA"
"73","31adf9b0bfe620438b8e730fd474cc27e61c3cc4","Taxon_73","Metazoa__Chordata__Actinopteri__Perciformes__Gasterosteidae__Gasterosteus__Gasterosteus aculeatus"
"74","c5096108c306c4feda0e54dde259d212245b2d5a","Taxon_74","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"75","ed5e7e50aa64ed93aa7bb93f60e0d0ec95dd2cab","Taxon_75","Metazoa__Chordata__Mammalia__Artiodactyla__Suidae__Sus__Sus scrofa"
