"","NGN0277","NGN0278","NGN0279","NGN0280","NGN0281","NGN0282","NGN0283","NGN0284","NGN0285","NGN0286","NGN0287","NGN0288","NGN0289","NGN0290","NGN0291","NGN0292","NGN0293","NGN0294","NGN0295","NGN0296","NGN0297","NGN0298","NGN0300","NGN0301","NGN0360","NGN0361","NGN0362","NGN0363","NGN0364","NGN0365"
"NA__NA__NA__NA__NA__NA__NA__Seq_120",0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_121",0,0,0,0,54,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_122",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_123",0,0,0,0,46,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_124",0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA__Seq_125",0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_126",0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_127",0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_128",0,0,0,0,121,40,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_129",0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_130",0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA__Seq_131",0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_132",0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_133",0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_134",0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_135",0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_136",0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Seq_137",0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_138",0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_139",0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_140",0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
