Sample_name,Locus,Hash,nReads
COI.0421.1Prt.Dn.2,COI2,329425834db2fa99c4237657ede60e6e4c9fcb00,75
COI.0421.1Prt.Dn.2,COI2,43dba4c10c91f61d9e8637ef24b1492a8efc38a1,92
COI.0421.1Prt.Dn.2,COI2,4031155fac7b0418f7ba47bc39d7a08574afc114,87
COI.0421.1Prt.Dn.2,COI2,ab3f64008f486f949863ab437f6faf80fe6122bd,43
COI.0421.1Prt.Dn.2,COI2,e9f4b4089a2e76cc9f2539bdd40fa39b5355f972,122
COI.0421.1Prt.Dn.2,COI2,576027e89ec37466f0525b840f05622fb738a245,90
COI.0421.1Prt.Dn.2,COI2,25d6239ad20abcf209a89dbca00573ad66ffee6d,106
COI.0421.1Prt.Dn.2,COI2,cb56307d779322a73f55b11845d7f81b21e4ee43,32
COI.0421.1Prt.Dn.2,COI2,aad942f5f3c9fa3632aeeef5187ded24a252a187,163
COI.0421.1Prt.Dn.2,COI2,613c0c2c1fa69a3c68ba901d4c9fe0713dfcd9c6,76
COI.0421.1Prt.Dn.2,COI2,22e646d3e47c171e331179b4dc3f4a45c3d2b0b8,60
COI.0421.1Prt.Dn.2,COI2,45ffc4a04055fa303ea91310fed6968b9a60fe1d,138
COI.0421.1Prt.Dn.2,COI2,ecd565da432ae1bb0d25d9f87ba083210cdfec86,114
COI.0421.1Prt.Dn.2,COI2,c593cd2ccd6ad4b26ebb9ee1759414eb68df7340,53
COI.0421.1Prt.Dn.2,COI2,b0ef670a051e0796c26311a0ddcb3eb29abda482,63
COI.0421.1Prt.Dn.2,COI2,8e1a10ceeac83585b7673afb0291a65956937d5f,87
COI.0421.1Prt.Dn.2,COI2,42c88530bd94514aa0adb926d563c2284000d981,40
COI.0421.1Prt.Dn.2,COI2,9de8ac612dd9b07f51453092dede9185fc0ca647,204
COI.0421.1Prt.Dn.2,COI2,9bfb2efbc92abd769e7c78c89ffa9e6e0a8efaf7,42
COI.0421.1Prt.Dn.2,COI2,4fef7d9f8a8901745c9e718f09e666469e1ca6f1,245
