"","Sample_name","Locus","nReads","NewHash"
"19","COI.0421.1Prt.Dn.2","COI2",358,"9205f449f4095e0a6ad50e674a4f50039e786318"
"20","COI.0421.1Prt.Dn.2","COI2",440,"44e243b439736bfac18b1bf6d92f98eb5c01247c"
"21","COI.0421.1Prt.Dn.2","COI2",336,"7c68085e03dcb88de3a85118b316fbd3ab216ceb"
"22","COI.0421.1Prt.Dn.2","COI2",447,"f29b7aa6f87d16401df576261ed7cd7e44559017"
"23","COI.0421.1Prt.Dn.2","COI2",185,"d9a01f7f7f88028ba5049dc081faf9faa81aa28f"
"24","COI.0421.1Prt.Dn.2","COI2",163,"f56b226e2a2329a1057f4d583e3f0f08eba0d344"
"25","COI.0421.1Prt.Dn.2","COI2",376,"607a7652f70838e006d54823f55b86fd952e0e8e"
"26","COI.0421.1Prt.Dn.2","COI2",157,"cb5791740e6332d97649bc162036c0bec389823b"
"27","COI.0421.1Prt.Dn.2","COI2",296,"b841931a08adb01b5849be93c8a58b28a915599b"
"28","COI.0421.1Prt.Dn.2","COI2",305,"4e0d96ac4da8c70ad7e94270c02fd4993ad950e5"
"29","COI.0421.1Prt.Dn.2","COI2",225,"b536a59256b8c8f1c4929c0472de7e9ed677d336"
"30","COI.0421.1Prt.Dn.2","COI2",229,"7f77a1e269b16ffd1131b86ebd9532b5c9e41301"
"31","COI.0421.1Prt.Dn.2","COI2",729,"c51c72e607b21ab35cc4503c3990d400ec1f5d27"
"32","COI.0421.1Prt.Dn.2","COI2",484,"48f5cb2ee8058a2e54408e3161e897f9ac048195"
"33","COI.0421.1Prt.Dn.2","COI2",187,"fbb08dc89acd9fdf5b7cc60e6dd2236788f8c4ee"
"34","COI.0421.1Prt.Dn.2","COI2",173,"3e49cb958f511ddc3d829e276126bc1c00bc410e"
"35","COI.0421.1Prt.Dn.2","COI2",199,"1772db1a3579e7edb9ac3cf57e3d305728262eb5"
"36","COI.0421.1Prt.Dn.2","COI2",110,"4601a9c56469347218b2337b6a941453632d5d5c"
"37","COI.0421.1Prt.Dn.2","COI2",189,"3d49f0d5a6eea73689a019c53cc7d626074e4bc5"
"38","COI.0421.1Prt.Dn.2","COI2",85,"44980b5f9b4c0a49c37440405f1aa64f1c79a84d"
"39","COI.0421.1Prt.Dn.2","COI2",206,"f2874d3a74c7b348ec38b3187dcaf7972884d912"
"40","COI.0421.1Prt.Dn.2","COI2",198,"36aac4acfdfd15dcca71a45ef9729fa8f1e720f8"
"41","COI.0421.1Prt.Dn.2","COI2",342,"f8021852ae9cdca976b8d04c9f7e2e4e656631cb"
"42","COI.0421.1Prt.Dn.2","COI2",272,"24726fd295a8a7a803cdcdcaf969bd9ecd114875"
"43","COI.0421.1Prt.Dn.2","COI2",205,"b6e3355cbc0e75eba6cdf464d77534e7d2a40d01"
"44","COI.0421.1Prt.Dn.2","COI2",178,"faf2b7fb7a847ddff4331cb78eac07096b809346"
"45","COI.0421.1Prt.Dn.2","COI2",318,"3c41ac759f0e980a008efe5d96ff13e51aad1909"
"46","COI.0421.1Prt.Dn.2","COI2",76,"482b4112c027fd0a69ad425bdf5aad8ad0a1986f"
"47","COI.0421.1Prt.Dn.2","COI2",114,"221ee0611c509488606b54e0e73c0fa1062c244e"
"48","COI.0421.1Prt.Dn.2","COI2",216,"db7cbd88f1b473915a637b260a59dd1d6932803a"
"49","COI.0421.1Prt.Dn.2","COI2",440,"170bda0c952fe3e9498589049a0068dd8d08d88f"
"50","COI.0421.1Prt.Dn.2","COI2",135,"f9d1cbdcbbf9f33de5749e6f8d6d616194ca856a"
"51","COI.0421.1Prt.Dn.2","COI2",106,"08814fcc78026263e0eafede19ff3beb7350adfc"
"52","COI.0421.1Prt.Dn.2","COI2",127,"88b930cf1e2139f7fafa441d9133b00cbd33db84"
"53","COI.0421.1Prt.Dn.2","COI2",216,"e8da07052900d1394cee992be34f83aa07639f8f"
"54","COI.0421.1Prt.Dn.2","COI2",126,"b352995ef88611f7ef211dbae4cb85df2f13bfa2"
"55","COI.0421.1Prt.Dn.2","COI2",121,"7ed544deb92fadbb35588c52adbc51ed437099f3"
"56","COI.0421.1Prt.Dn.2","COI2",102,"ac99be8b9c0da3679389e2b05058ac2643968146"
"57","COI.0421.1Prt.Dn.2","COI2",261,"3d0f104db642c761d2bac30878566e1d4aa17566"
"58","COI.0421.1Prt.Dn.2","COI2",119,"92883601cf2a17464075095dbd4736c4c6abc669"
"59","COI.0421.1Prt.Dn.2","COI2",132,"51cb4ce65e293d1608106ee2a3a8b0d192c2352e"
"60","COI.0421.1Prt.Dn.2","COI2",173,"5cd48790d89c200fd38197377fd8b053c8be8217"
"61","COI.0421.1Prt.Dn.2","COI2",120,"6a4166891a6e3d0281f720128982ed1aa1c2f806"
"62","COI.0421.1Prt.Dn.2","COI2",146,"98d632ba256b90d9049b4dca04ace3b65813d5a9"
"63","COI.0421.1Prt.Dn.2","COI2",167,"8f0aba3d460e6971e873fc29b15e210f045d7aea"
"64","COI.0421.1Prt.Dn.2","COI2",129,"f53294c90e5e8e2c8e612280d36eca25d2c66112"
"65","COI.0421.1Prt.Dn.2","COI2",86,"7dab327b15ddd9c74ee8a5e3272bd88c3828ef55"
"66","COI.0421.1Prt.Dn.2","COI2",153,"7a675a965eda56bb67d4bfe0f062216e19a0cef5"
"67","COI.0421.1Prt.Dn.2","COI2",39,"0adf7b9444acb6f8eb10175a487eef85ba324bcc"
"68","COI.0421.1Prt.Dn.2","COI2",57,"a73140bc19e2a8c32780ad0214cd417bbd8a8541"
"69","COI.0421.1Prt.Dn.2","COI2",140,"77424ef4627792f49c87feae557e12a23d8c4231"
"70","COI.0421.1Prt.Dn.2","COI2",197,"f151cab417b09dd54f108836e9335da0260c4723"
"71","COI.0421.1Prt.Dn.2","COI2",112,"6ed53fbf8e63702e9d7c9127612591f096959695"
"72","COI.0421.1Prt.Dn.2","COI2",87,"612767f9eab3a88ca4c2f5ed2e91dc48f4cb9606"
"73","COI.0421.1Prt.Dn.2","COI2",124,"22e7b6dc710239c5c4fe4b375009c2978f5cf28a"
"74","COI.0421.1Prt.Dn.2","COI2",131,"821bb9da403c41be2b4f1461a0b7c057f7927316"
"75","COI.0421.1Prt.Dn.2","COI2",116,"5a6296c5fa86e3b4fce47230b5fd8e379a298995"
"76","COI.0421.1Prt.Dn.2","COI2",50,"9afede350b814a3ad3427b0ca3119ef8be73d647"
"77","COI.0421.1Prt.Dn.2","COI2",161,"7658debb94f0d7d5f0bf8e31e1c1ba6ef681ec0c"
"78","COI.0421.1Prt.Dn.2","COI2",166,"840b5337c8684fc643d0b3562660a153ee7ef708"
"79","COI.0421.1Prt.Dn.2","COI2",72,"050a7b2ff0ecde67fd81bf007dbd90c8cca03238"
"80","COI.0421.1Prt.Dn.2","COI2",204,"7fad99fe141f75dbcfdf9a8cdcebcf31283f7184"
"81","COI.0421.1Prt.Dn.2","COI2",104,"cbda8c2cf1788fb737c0daab1b288e33f62f02ea"
"82","COI.0421.1Prt.Dn.2","COI2",119,"eb82a539f7063677cb938dc114ebeb399634b214"
"83","COI.0421.1Prt.Dn.2","COI2",209,"a41903f26061e0750bea8135a7a82b66df6afd0f"
"84","COI.0421.1Prt.Dn.2","COI2",127,"75653a4c875118ad305c689be182142cd09aa614"
"85","COI.0421.1Prt.Dn.2","COI2",153,"91930498440033c844c257a272bd18bd1e92fb36"
"86","COI.0421.1Prt.Dn.2","COI2",103,"5a9ec9151398685ced673f202106ca524017f44d"
"87","COI.0421.1Prt.Dn.2","COI2",142,"ef2c115f267edeb130c748e2ab77e5ee565c0722"
"88","COI.0421.1Prt.Dn.2","COI2",107,"2cb62c2584b1148b38fb4e6b31254bc7223bb5d3"
"89","COI.0421.1Prt.Dn.2","COI2",76,"82f3448bc9a465a3c49026549dde5e1cb2b86da9"
"90","COI.0421.1Prt.Dn.2","COI2",91,"51b24df83b4a68613b34065c1583207d8fb4ad9b"
"91","COI.0421.1Prt.Dn.2","COI2",140,"00b9dcfb0720f4fa7988adbb13dba57843935061"
"92","COI.0421.1Prt.Dn.2","COI2",100,"9e5f9a11911e23c80ead23b92c1cd8360835b1a5"
"93","COI.0421.1Prt.Dn.2","COI2",75,"9d0a7e8394c93d548b6757ec669c17f0b31f8c98"
"94","COI.0421.1Prt.Dn.2","COI2",92,"a4d4de9854abd73c65c21e7bc54d896fd55b332b"
"95","COI.0421.1Prt.Dn.2","COI2",87,"baf7e7a2d86a023affafa9b73b91ba06a2851beb"
"96","COI.0421.1Prt.Dn.2","COI2",43,"d260c0796b3d96678f6d00f1c35d7975c77f89c6"
"97","COI.0421.1Prt.Dn.2","COI2",122,"5a63d5f26743edb2e5f0fbddef506cf8836b6ebf"
"98","COI.0421.1Prt.Dn.2","COI2",90,"c223f0aa1a32b8b704ddaa8529705585e2c80a64"
"99","COI.0421.1Prt.Dn.2","COI2",106,"7aaf351f778783ba6a798b6f6fb23681abfac958"
"100","COI.0421.1Prt.Dn.2","COI2",32,"679f6c7e82d1079b0074944d345fe3968f61bc48"
"101","COI.0421.1Prt.Dn.2","COI2",163,"1075232a493ed22f070a03b353b8f51e1dfd9f11"
"102","COI.0421.1Prt.Dn.2","COI2",76,"27841c2d7fb344850b3912308d948404d963c2c5"
"103","COI.0421.1Prt.Dn.2","COI2",60,"4810d0adc00b0a0a4182a93c1af8550e646f274f"
"104","COI.0421.1Prt.Dn.2","COI2",138,"30648dffc9740eac73161ef21e5be2fab280393a"
"105","COI.0421.1Prt.Dn.2","COI2",114,"ff583ca0e8f673ea629277330fbcd49ce026833a"
"106","COI.0421.1Prt.Dn.2","COI2",53,"1e19f964e0b900bd089c2c1fe67b742f53141a3a"
"107","COI.0421.1Prt.Dn.2","COI2",63,"95c53fa6a85802cd265e3d69e8d60c7c1e8807c3"
"108","COI.0421.1Prt.Dn.2","COI2",87,"eb8b6829c2c437f56b0ee1fd9593586be8c09c86"
"109","COI.0421.1Prt.Dn.2","COI2",40,"f3c3d063e120517bf9edbbd8ec8d5493bbdfbc58"
