Sample_name,Locus,Hash,nReads
COI.0421.1Prt.Dn.1,COI,26eaa4e3d446dbd11e1a9e55f2561e916cd3cc6f,26
COI.0421.1Prt.Dn.1,COI,f682f5180390cd651de8da8c58496479420cd4ef,99
COI.0421.1Prt.Dn.1,COI,3c41ac759f0e980a008efe5d96ff13e51aad1909,98
COI.0421.1Prt.Dn.1,COI,f517c2b4702d4d496c5c3123aa452e7582c9cb20,95
COI.0421.1Prt.Dn.1,COI,7ed544deb92fadbb35588c52adbc51ed437099f3,95
COI.0421.1Prt.Dn.1,COI,fbb08dc89acd9fdf5b7cc60e6dd2236788f8c4ee,90
COI.0421.1Prt.Dn.1,COI,9ff10fe227cf4c9534cb9fcd7344f7d7b8d6baa7,85
COI.0421.1Prt.Dn.1,COI,4e0d96ac4da8c70ad7e94270c02fd4993ad950e5,83
COI.0421.1Prt.Dn.1,COI,4ebf63f8ed24ac38f5972c0843195731ed42c58f,81
COI.0421.1Prt.Dn.1,COI,5f163531b35e785031e3bef381b6a2c8e42ff7af,80
COI.0421.1Prt.Dn.1,COI,607a7652f70838e006d54823f55b86fd952e0e8e,78
COI.0421.1Prt.Dn.1,COI,ce58180855d37c58484e232cc5bf1a12d79393a8,71
COI.0421.1Prt.Dn.1,COI,0cec90bb6478106d0734cf557bcfd6445d58ae40,71
COI.0421.1Prt.Dn.1,COI,4501c35f9927acd63f7a71e5a44b59ca81d85e23,70
COI.0421.1Prt.Dn.1,COI,b450a1868a85869b3a6055c374a27b99896e4816,70
COI.0421.1Prt.Dn.1,COI,294aba62a7def1da522663cd64b519e9ace960c0,69
COI.0421.1Prt.Dn.1,COI,39e24c2842757a98a522f176d03c2fb86fea00f2,68
COI.0421.1Prt.Dn.1,COI,5dd05c86a8b817456db8edf5e5ed758ca4fffaf6,66
COI.0421.1Prt.Dn.1,COI,f3578167dd9ba53639ea5aee4c64625e5e6230c9,65
COI.0421.1Prt.Dn.1,COI,93556e3403099cacb1979e78e80c1740f65b6618,64
COI.0421.1Prt.Dn.1,COI,ebd919693d7678dad67ab031f77466861756f29c,63
COI.0421.1Prt.Dn.1,COI,221ee0611c509488606b54e0e73c0fa1062c244e,63
COI.0421.1Prt.Dn.1,COI,7c68085e03dcb88de3a85118b316fbd3ab216ceb,63
COI.0421.1Prt.Dn.1,COI,d9a01f7f7f88028ba5049dc081faf9faa81aa28f,40
COI.0421.1Prt.Dn.1,COI,3c747143d196a2728dd4df1f99e452c4a8b5159d,62
COI.0421.1Prt.Dn.1,COI,1772db1a3579e7edb9ac3cf57e3d305728262eb5,61
COI.0421.1Prt.Dn.1,COI,f58ba51dcb0fcca1ec1b97f71e5b318706070448,60
COI.0421.1Prt.Dn.1,COI,3d49f0d5a6eea73689a019c53cc7d626074e4bc5,58
COI.0421.1Prt.Dn.1,COI,a3b8871d013f1d860ab9e378bcf099945743159b,58
