,MiFish.0321.1Prt.Up.1,MiFish.0321.2Brn.Dn.3,MiFish.0321.3Chk.Dn.1,MiFish.0321.3Chk.Dn.3,MiFish.0321.3Chk.Up.2,MiFish.0321.4Pad.Dn.2,MiFish.0321.4Pad.Dn.3,MiFish.0321.4Pad.Up11.1,MiFish.0321.4Pad.Up11.3,MiFish.0321.4Pad.Up5.1,MiFish.0321.4Pad.Up5.2,MiFish.0321.4Pad.Up5.3,MiFish.0321.5Sqm.Dn.3,MiFish.0321.5Sqm.Up.1,MiFish.0421.1Prt.Dn.1,MiFish.0421.1Prt.Dn.3,MiFish.0421.2Brn.Dn.2,MiFish.0421.2Brn.Dn.3,MiFish.0421.2Brn.Up.2,MiFish.0421.3Chk.Dn.1,MiFish.0421.3Chk.Dn.2,MiFish.0421.3Chk.Up.1,MiFish.0421.4Pad.Up11.2,MiFish.0421.4Pad.Up5.1,MiFish.0421.4Pad.Up5.2,MiFish.0421.5Sqm.Dn.2,MiFish.0421.5Sqm.Dn.3,MiFish.0421.5Sqm.Up.2,MiFish.0421.5Sqm.Up.3,MiFish.0821.1Prt.Dn.2,MiFish.0821.1Prt.Dn.3,MiFish.0821.1Prt.Up.2,MiFish.0821.1Prt.Up.3,MiFish.0821.2Brn.Dn.2,MiFish.0821.2Brn.Up.1,MiFish.0821.2Brn.Up.3,MiFish.0821.3Chk.Up.1,MiFish.0821.4Pad.Dn.1,MiFish.0821.5Sqm.Dn.1,MiFish.0821.2Brn.Dn.2TR2,MiFish.0821.2Brn.Dn.2TR3,MiFish.Kangaroo.Run.2
NA__NA__NA__NA__NA__NA__NA__Seq_0036,56,0,85,5,125,0,0,35,190,46,138,0,0,0,102,0,0,0,0,0,0,13,72,59,67,0,0,0,0,0,0,126,0,0,284,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0037,352,0,0,0,0,0,0,0,0,102,153,0,0,0,0,0,0,0,0,0,118,0,416,0,24,0,0,0,0,0,0,15,0,0,105,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0038,316,0,0,0,337,0,0,0,0,0,63,0,33,0,15,0,147,0,0,0,0,56,0,0,0,0,0,0,0,0,0,94,215,55,0,0,0,0,0,7,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0039,560,0,5,24,154,55,0,0,0,87,0,0,0,0,214,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0040,104,0,43,0,0,0,0,0,111,57,0,35,0,0,0,55,0,0,0,48,0,0,117,119,70,0,0,0,0,0,0,0,0,214,41,0,0,31,0,0,36,0
NA__NA__NA__NA__NA__NA__NA__Seq_0041,61,0,462,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0042,296,39,44,0,0,25,0,18,0,6,141,245,0,0,60,0,0,0,0,0,0,15,0,24,3,0,0,0,0,0,0,75,7,0,3,0,0,0,0,0,0,0
Metazoa__NA__NA__NA__NA__NA__NA__Seq_0043,19,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0044,64,0,168,41,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,133,5,214,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0045,512,0,56,0,25,0,0,0,0,0,0,100,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,35,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0046,4,0,166,438,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0047,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0,22,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0048,50,0,150,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,80,249,0,0,34,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0049,17,0,0,0,0,40,36,16,181,55,17,0,0,0,0,0,0,0,128,0,0,119,77,45,36,0,0,0,0,0,0,46,0,22,0,0,0,80,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0050,17,0,0,0,0,18,0,59,0,282,64,74,0,0,0,0,0,0,0,0,0,0,45,63,0,0,0,0,0,0,0,66,0,0,209,0,0,9,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0051,84,0,0,0,0,0,0,0,33,0,0,20,0,0,180,0,0,0,0,0,0,0,72,19,19,0,0,0,0,0,0,38,31,0,363,0,0,46,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0052,279,0,0,0,0,30,45,15,0,28,43,36,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,116,0,0,161,41,0,30,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0053,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,111,23,0,0,0,0,0,0,0,257,0,0,0,100,0,208,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0054,81,0,0,0,97,0,0,0,0,126,26,0,0,0,170,0,0,0,0,18,0,242,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0055,163,0,0,0,0,0,0,23,0,0,209,0,0,0,279,0,0,0,0,0,0,0,56,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0056,79,0,342,0,0,0,0,84,0,0,42,18,0,0,0,0,0,18,0,0,57,21,0,39,0,0,0,0,0,0,0,0,25,11,23,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0057,21,0,264,264,0,0,0,0,0,0,0,0,0,0,133,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0058,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,283,74,0,98,0,24,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0059,147,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,18,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0060,126,0,0,0,0,0,0,77,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,80,0,71,11,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0061,216,0,37,0,59,72,0,52,69,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0062,95,0,0,0,27,0,0,0,0,15,25,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0063,61,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0064,142,0,0,0,0,0,0,106,0,0,56,26,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,185,49,0
NA__NA__NA__NA__NA__NA__NA__Seq_0065,32,0,20,0,222,0,0,0,0,33,0,0,0,0,28,0,14,0,0,0,0,98,0,157,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,23,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0066,35,0,49,0,0,0,0,0,0,0,41,153,0,0,82,3,0,22,0,15,0,0,17,0,0,0,0,0,0,0,0,0,18,34,27,0,0,125,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0067,359,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0068,7,0,0,0,0,0,0,0,7,10,0,0,0,0,337,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,73,10,0,58,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0069,274,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0070,128,0,0,0,0,0,27,13,0,0,0,189,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0071,18,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,465,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0072,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0073,213,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,40,30,0
NA__NA__NA__NA__NA__NA__NA__Seq_0074,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0075,226,0,0,0,0,0,0,0,0,0,21,0,0,0,141,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,23,0,0,0,68,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0076,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0077,77,0,0,0,44,0,0,0,0,90,126,0,0,0,0,0,0,0,0,0,0,56,30,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0078,140,0,0,0,0,0,0,0,0,0,0,59,0,0,0,66,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0079,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0080,88,0,0,0,0,60,14,0,92,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0081,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0082,127,0,0,0,0,0,0,0,18,8,0,0,0,0,0,0,0,0,0,0,0,26,198,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0083,72,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,211,10,0,0,0,0,0,0,0,58,0,0,0,0,0,97,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0084,40,0,90,12,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,155,0,0,13,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0085,301,17,61,23,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0086,364,0,0,0,0,0,0,0,0,10,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,56,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0087,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,10,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0088,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0089,65,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,84,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0090,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0091,250,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0092,238,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,42,56,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0093,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0094,115,0,0,0,0,0,0,0,0,0,0,0,38,0,91,0,99,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0095,267,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,15,18,38,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0096,55,0,0,220,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,10,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0097,299,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0098,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0099,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0100,57,0,139,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,48,0,0,0,0,0,81,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0101,147,0,55,100,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
