"","tmp.hash","tmp.tx","wholetax.tg"
"92","92876da839807a61cbaf549c3872b8faa2b2c36d","Taxon_092","Metazoa__Chordata__Mammalia__Artiodactyla__Bovidae__Capra__NA"
"93","f060b985df3f68de5ff50592b7bfe9d03deb99d4","Taxon_093","Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA"
"94","1eacd6b8e7ccfd00e53e98c9ff9ecee454f0f29f","Taxon_094","Metazoa__Chordata__Aves__Galliformes__Phasianidae__Meleagris__Meleagris gallopavo"
"95","5d6a5f2116231e5e92600d866977dda093cd30bc","Taxon_095","Metazoa__Chordata__Mammalia__Eulipotyphla__Talpidae__Scapanus__Scapanus orarius"
"96","26c83621552ce0bff8db551c5129d9eccf7d9a50","Taxon_096","Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA"
"97","215a1f59dbebd89ecaf8223653610b041c1e6baa","Taxon_097","Metazoa__Chordata__Aves__Passeriformes__Thraupidae__Piranga__Piranga ludoviciana"
"98","a426780e439ff6e04e7c60b1ea9ca40b2376c047","Taxon_098","Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__Tamias__NA"
"99","f3b74c85c0bdd0beba57a87b50994f3a01ddd199","Taxon_099","Metazoa__Chordata__Aves__Passeriformes__Fringillidae__Pheucticus__Pheucticus melanocephalus"
"100","1a5899b9fd810230a7596995a978358f42979a45","Taxon_100","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"101","2435eb1079be3ac735d5301e934ec881cf409ceb","Taxon_101","Metazoa__Chordata__Aves__Passeriformes__Paridae__NA__NA"
"102","a0b136cf0c8acdc9ea6ef33ad743d03140bbd58f","Taxon_102","Metazoa__Chordata__Mammalia__Primates__Hominidae__NA__NA"
"103","418d5ed20b679f800b258f567825c92d012bc96e","Taxon_103","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"104","dc78ea7000749cdaa33f9199c52df6f0f90be099","Taxon_104","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"105","31adf9b0bfe620438b8e730fd474cc27e61c3cc4","Taxon_105","Metazoa__Chordata__Actinopteri__Perciformes__Gasterosteidae__Gasterosteus__Gasterosteus aculeatus"
"106","c5096108c306c4feda0e54dde259d212245b2d5a","Taxon_106","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"107","85608f4b95519563e1702090189d590590cea61b","Taxon_107","Metazoa__Chordata__Actinopteri__Perciformes__Gasterosteidae__NA__NA"
"108","6d7a36800c44bc61533fdba2e215c4063ec0b60a","Taxon_108","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"109","5d033a6112f231fd3f8991741e0f04f193517321","Taxon_109","Metazoa__Chordata__Aves__Passeriformes__Parulidae__NA__NA"
"110","59309486d84462893840a85fbdc4aeff89a26639","Taxon_110","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"111","e747eef0a339a503193d10c42b71ef028bca3fc0","Taxon_111","Metazoa__Chordata__Aves__Passeriformes__Paridae__Poecile__Poecile atricapillus"
"112","043add06ba0d58df5bd5e9ea9c63728b2f24ee67","Taxon_112","Metazoa__Chordata__Aves__Passeriformes__Corvidae__Corvus__NA"
"113","45c890edf81e9de77589080e0b5ff4b306291390","Taxon_113","Metazoa__Chordata__Mammalia__Primates__NA__NA__NA"
