"","MiMammal.0321.2Brn.Dn.3","MiMammal.0321.4Pad.Dn.2","MiMammal.0321.2Brn.Up.1","MiMammal.0321.4Pad.Up11.2","MiMammal.0321.5Sqm.Dn.2","MiMammal.0321.5Sqm.Up.3","MiMammal.0421.1Prt.Dn.1","MiMammal.0421.1Prt.Dn.2","MiMammal.0421.1Prt.Up.3","MiMammal.0421.2Brn.Dn.1","MiMammal.0421.2Brn.Up.1","MiMammal.0421.3Chk.Dn.3","MiMammal.0421.4Pad.Dn.1","MiMammal.0421.4Pad.Dn.3","MiMammal.0421.5Sqm.Dn.1","MiMammal.0821.1Prt.Up.3","MiMammal.0821.2Brn.Up.2","MiMammal.0821.3Chk.Up.1","MiMammal.0821.4Pad.Dn.1","MiMammal.0821.4Pad.Up11.1","MiMammal.0821.4Pad.Up5.1","MiMammal.0821.5Sqm.Dn.1","MiMammal.0821.5Sqm.Up.2","MiMammal.0821.Kangaroo","MiMammal.0321.1Prt.Up.1","MiMammal.0321.2Brn.Dn.2"
"88868f145c43408aa6c27982badd3cf6c7435c45",487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d84391b013a0c0b0f0e588766fb6a2f47f8bc81c",349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d071447bb8ca2177c49e93535e90db16ffe738c3",371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2a57b50fb2af64df3bf7b78d13ef04e7215a04d1",196,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68555c3d5ffd7dbdae3901cba5230626de7bf52f",148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c49a8f7144e51f8a0d46c19d4c50ac4e41772a40",120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e49f29f531772e66d7044da181264083c6e69d6d",67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6f4156f2f388b3f8332e1dea570a1d21f65fd375",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02e4a86c119ca4b65e5b616135fa996aa2eb4372",0,138,0,0,0,0,862,1209,1264,0,0,0,135,255,23,724,0,0,112,556,3101,525,5675,0,285,0
"a56843c86d60d4423f69f4836868d31ea7eadf22",0,132,0,832,0,32,0,0,0,0,0,0,0,243,0,0,0,0,228,5055,0,0,0,0,0,0
"49b916c007d3dbb75da7ceb655dd8cefb4e15ac4",0,2199,0,4520,0,0,0,0,0,0,0,0,378,1476,0,0,0,0,4,327,0,0,0,0,0,0
"5dbce0075732b37e517721c275ba3c2e14e50196",0,11212,0,0,0,1913,0,1311,0,0,0,0,752,1238,0,0,726,0,0,199,0,0,0,0,0,1683
"d375db6821a4402acdeffb3d216d4abdc355cd48",0,1634,0,0,648,0,94,0,0,0,0,138,0,0,197,0,0,0,499,0,12000,135,823,0,805,0
"63a7d0273f9bdd41fc062c411d5c529730a67ff1",0,1525,0,2832,0,0,3344,2365,1187,0,0,0,0,398,0,4300,0,0,2,506,0,0,143,0,0,0
"ca4009e9f4961a466d717e77ddddcf64a374073d",0,685,4,7754,59,0,27,252,725,0,0,163,2941,908,14,0,0,0,5,0,0,0,0,0,158,0
"358d0def35bc8bcf2711011fb63f7fc511496cc5",0,1207,0,0,0,0,0,0,0,0,0,2432,0,0,0,0,380,0,0,0,0,0,0,0,0,0
"cf62a26ab8c1b5312a68133cb90988e0b24ee387",0,1979,0,0,0,407,0,0,0,0,0,583,0,0,208,0,0,0,0,0,0,0,0,0,0,0
"71af3877e5027588b85b33c8f9610503cdf2af74",0,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47d90263f660c4c07ecb6131960515a746a8abef",0,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"deaadc11b0189c975741718d011ab0f6897f6066",0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0
"b245de1ca82ac7a2ac8703dd5bab5342d28bd4ab",0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4be671e1ce0da6b1505cf3f3cbe98a49c6d2d7ff",0,151,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0
"ed947cab6e7ec1c1e6f04bf5c2581f1d73292a07",0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aa1a9c561aff3aedb076e617010399e8178046a1",0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6f8881a957d250fa5317484de99986d421535178",0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0502a89869e20d6586b3ccd464f94e1feaec8da0",0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f22f946bfb36bec4651a7c53b06a54c54c649c6c",0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35e334311044348b8d39fb275ce94e11c2cf361d",0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8d4bbc6ce4b6ec02b439fdf354147ee4b4399269",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fe72cd5c92fc95d33982bc5916c5d015404e2977",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8ade38d6c1396cc32395e6773d53ae373734314c",0,0,18646,8,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd",0,0,74,0,1335,467,0,864,0,0,0,2,0,0,404,0,276,0,0,201,0,0,2,0,0,0
"a509e6c3a18d5d776a8b71fd331a0f72d5fc18ca",0,0,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"858f4c2c3cd20bd167f1e495bfdc88b71aa217a9",0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80b48122ec86fc0054f144d85fb5151350ec9dcd",0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3efaf9264c622aa69a6e16b9ae54878453da0357",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83c42f6788444d029728771c178933a1212c25d8",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a6d4e9f15b1e754c9c11ec8edee164e5eb0c343e",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e330f6d1a7768b21c34c1d9d6814f5b48c87b05a",0,0,0,2088,0,0,0,0,0,0,0,0,1873,962,0,0,0,0,0,16,389,0,0,0,0,0
"f5b5aded2ca74ffb7f6b02448ffa90a36de662df",0,0,0,1867,0,0,0,0,0,0,0,2433,4841,2966,437,0,0,0,0,0,0,0,0,0,0,0
"de42666eb0e70e73c99b1061e5e4bfe4477204b5",0,0,0,129,37,0,0,0,0,0,0,0,648,110,0,0,0,0,0,0,0,0,0,0,0,0
"70a3e53e3e2c41bc4c57cbd79f14cc0d9c515f5c",0,0,0,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139ff38d8eb60547dba8a13573cc4d1939382544",0,0,0,471,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,17,0,0,0,0,0
"c6e82808a88952d18f734d433ed33bce9aed4920",0,0,0,215,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
"3342529986f8f5933a533bf1f2e975e9b677cb7b",0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24ce776b69c914f87600634ba6268479f370dc38",0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c504c0e46cc73088d60a8306ac6b7247528b132b",0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f40d338cb15a9b60552e1c3a92342fcef1f3a904",0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dd63054ec92248f49fb84b490c0647a7b5b814cd",0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b81faad3bc3b3eb23d5e36b76cdfbb36fe04ccd2",0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30742d31b3cc7a387b96133d0998ecee07c83597",0,0,0,0,6791,4072,4292,1003,2397,0,6,0,0,0,2568,0,0,0,0,0,0,0,3,0,2179,0
"cb0cf229832374ff8f4ce89c20348a90da9c04e1",0,0,0,0,132,142,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0
"c6d586dc78d8ef5cac238cba2d5714407775bd69",0,0,0,0,2171,6743,0,0,0,0,0,550,0,0,4913,0,0,0,0,77,7,0,30,0,0,0
"31f58f5089fdc196a53e11198d538061dd41bb97",0,0,0,0,4,4657,1633,0,0,0,0,761,0,0,1617,0,0,0,0,0,0,0,0,0,0,0
"5c024b1d5c5f25af45599d69bd92b8837b2ba62f",0,0,0,0,3306,1048,1063,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0
"814bd62cd7f0891ddea80fac0be25f86af95d790",0,0,0,0,124,88,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0
"1d2afe6b4c6cfb903dbf4f9909690cdcbebeff16",0,0,0,0,1889,0,0,0,0,0,0,0,0,0,56,0,0,0,0,127,0,0,0,0,0,0
"7ed525639c40b9418b4743e59f833fa5b3bdf355",0,0,0,0,16,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
"922459c4f0ee9c073a69b57c95394a67c8edd86a",0,0,0,0,188,111,118,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,55,0
"e72055022b8149f013d288146db1df79fcbb8f7b",0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0af50c9e935876232e242db91bb835235691bf3a",0,0,0,0,0,934,6732,5672,5869,0,0,346,0,0,96,680,0,0,0,0,0,0,0,0,0,0
"6f93809b6bc63b61b0d350733addd08a6ab86f2e",0,0,0,0,0,4,0,0,0,0,0,0,2560,0,0,0,0,0,0,0,0,0,0,0,0,0
"e38e779b032805db5aa7de7dc90149d3fce72e79",0,0,0,0,0,1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0
"34b95af64697c2feb0ab121d484733666197ae1f",0,0,0,0,0,337,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0
"8005d06b5717f047aac5d6ee7238b50bd1f9a895",0,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0ef847ecc2c0f9b9bc623b156a2a005c9bbd006d",0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1c750e6acf7f257b38dd658fb72d1db65d5ad259",0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b48513522bc5b6665df2930ce8c58f0e5207c198",0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e3bb86462242cc75b2d9159e96f588a2ca09a5d3",0,0,0,0,0,0,540,1056,687,0,0,0,0,0,0,3653,0,0,0,172,1046,0,0,0,3637,0
"e3326d78fc42729ea464440aa62ec3ce02bd2829",0,0,0,0,0,0,351,2870,2360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23c619d6fffd998ebd33fc4a32feda91287ea49e",0,0,0,0,0,0,887,0,0,0,0,418,5380,0,0,0,0,0,0,0,0,0,0,0,0,0
"2108e3ae4bfad9cc5a6d1f18dc1de351b5b7ac3f",0,0,0,0,0,0,1333,1295,1252,0,0,0,0,0,0,599,0,0,0,0,0,0,0,9,705,0
"7dae49817fac3bd37bd1ab61e10a98b36513016b",0,0,0,0,0,0,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7bef4439bb4a7d16aff702f6a9aed9d750e66e69",0,0,0,0,0,0,174,155,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d4dc0b36a2f8841e168f6a8c88532702acf1c060",0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64acd71396ce9fd7a044de196d7f1e36a58c8f32",0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0
"5e08243add1f3244899d45e4e31cf18f8af6bd3f",0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"357ef03286e7c0238f76a0a8853e96d7fc45e7cc",0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a94029641b54393c2e9ba00266a652c51d5f71c4",0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e9b8e7812d929036cf68956bdc4f5f05140ef0f7",0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8001433422f2dfb9b7333084b5ae4a31130f34f2",0,0,0,0,0,0,0,1147,0,0,0,460,0,0,0,0,0,0,43,0,2493,8835,397,0,0,0
"3fa5cad0e8bd81303eed0492a7c0dd91d85747be",0,0,0,0,0,0,0,740,1410,0,0,0,0,1204,0,2103,0,0,0,201,0,0,0,0,1414,0
"e65f511d819ef32a2941c6d56d076a8616b71c25",0,0,0,0,0,0,0,2036,0,847,0,0,0,0,0,0,0,2248,0,0,0,280,0,0,0,0
"298dae79d14c3c665b4a97bad3ba5129f4d3edf1",0,0,0,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d5f832529f6b73fadb1b9087af48bf9a8dc101c8",0,0,0,0,0,0,0,13,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0
"f47dad9cb9d3cf52c86783898d849142bca1476c",0,0,0,0,0,0,0,64,119,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,177,0
"674af3b33c7bae7701e8234ea49ccd2c64e251d3",0,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0
"20eea12b700ea0e1360f07a77a4aa1dec09f8ca6",0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c6be405669c4d4d5ae91e15576ef8906a3ca3a41",0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a46b37205aeb3ba26fbc98ff780a82d1ff621a32",0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c458bfbd8c0ac4b00203e7ac33d77c8141488906",0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7eead34e363df27775f985a0cb2ce490701fcb19",0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4bcf98976488f81fa25b3b8d4dad55d94f89da6f",0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b3f3b06c53b5f4cece80b21c1edee9cc4a13b18c",0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80b393f13810fac57278c2947983d31c1972003b",0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c4d89cc13a9fe24f6c0caec6b5429c33c04f471d",0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d221a090530e6e99a5e014fc93afa7aea88535fe",0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a0de50866a09243951862dbc8ca45a4cdc3bffbd",0,0,0,0,0,0,0,0,0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7f1d99649c0636e370401ffdfa7af2332a73f670",0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6a201abd1d3ac2a687b67be26aa88d80872ed628",0,0,0,0,0,0,0,0,0,0,2798,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0
"6162577dad77b615bca5543992542e30cecfbe59",0,0,0,0,0,0,0,0,0,0,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bef923c4fc85efb095fe423affaf30d69a3126d9",0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5b9709ef11f333dd40b1d8c9641074a1309aff2e",0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23bf5f5d24f589cba120a8635ee13e9817d90a52",0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"da86e55cb2b03c4f47a877c184e63d907a48bc4e",0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,675,0,0,0,0,0,0,0,0,0,838
"9cddc5a579c9034e01050606637ed2d0a4f6bd81",0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76fb433462584bf34f270d08f0203cad1a3c0bee",0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d49556be511b453fb857fbf5546900276c8c80b7",0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bb1cc3902b7d9e1b902a44ba619d14a2c6f909b6",0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20a9c4751ed251e3c0f35a775d46c080075382d8",0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d8804f535ddcada3535b64a5ba8867826148fd6a",0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eccfd48eb4674a8cfcb69e95f0a2b4abc5a80ea8",0,0,0,0,0,0,0,0,0,0,0,0,3752,0,0,0,0,0,0,0,0,0,0,0,0,0
"3aae89a287ae59f1da0a1f04f508f67939fd260e",0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0
"b70ad915990944a2669a739bb1397e4a24c649a6",0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0
"060442c1fbcebb79143b4619d259670500a0595e",0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0
"95fa35b40c171982e0e8759925ba962777f5b51c",0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0
"091608e9343c9f2c79ff64e3fcfbcdfbce8653bc",0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,11823,0,0,0,0,0,0,0
"acb132e82e2ef43f8eac6c7e5dd85c551168b718",0,0,0,0,0,0,0,0,0,0,0,0,0,2226,0,0,0,0,0,0,0,0,0,0,0,0
"ebfdc0a153d719a21b03b26c5b220ea447328d42",0,0,0,0,0,0,0,0,0,0,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0,0
"25e8531396b00cb9cdd8c87db81331ec1a0ee28e",0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
"08c79b0be594a12b12743136f1fcdcbaa5d91d9b",0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0
"142fbe996e9fd558b17f5cc669917e1ccce4ceed",0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0
"b6b31c935db698ed479cf15f6f3b52cbe2ce4b32",0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0
"66ff6e74c54628fba8015937470ec9d9184eced9",0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0
"d15e926efd8720231adb32a8b4e6e40608827676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0
"4b6b740f9b6d0ae003c5b1ee2bb36f4a9766dd3b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0
"f3d5863f9d49fc73652ae616bd0a22b9ab62d094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0
"37c2390b3ed79e0f3e825a98dc39359df5fb5405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0
"9a33de19684dd94fef15cc285fa6e9a6a7284e64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0
"07122a09e420f0d98cd3019bb7a8f3da9909e375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0
"52b243aa0f20605f285bc1dc5738230e4ac2d4f0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0
"ce7a47764ee679769ad968f12d87892e49866aa5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0
"4c562c7a275414a00788a05c97abe672981ffcea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0
"92876da839807a61cbaf549c3872b8faa2b2c36d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0
"f060b985df3f68de5ff50592b7bfe9d03deb99d4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0
"1eacd6b8e7ccfd00e53e98c9ff9ecee454f0f29f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0
"5d6a5f2116231e5e92600d866977dda093cd30bc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616,0,0,0,0,0,0,0,0,0,0
"26c83621552ce0bff8db551c5129d9eccf7d9a50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0
"7cd5a278e844eb42676b58410c7bb263e7e6fbad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"5a7e5ebe5d3d6d76de3044040dccd1ab3d048894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,0,0,0,0,0,0,0,0
"215a1f59dbebd89ecaf8223653610b041c1e6baa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0,0,9,0,0,0,0
"a48239a814ca2f97d04e6d8f3da83a28fb959072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,42,0,59,0,0,0,0,0,0
"ee10a57b8e892ee72bf167c0efd0a15ec40cd488",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0
"a426780e439ff6e04e7c60b1ea9ca40b2376c047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0
"7c23ac26c1c5e06f1ae20ecb5e63f9fa4fb68550",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"f3b74c85c0bdd0beba57a87b50994f3a01ddd199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0
"1a5899b9fd810230a7596995a978358f42979a45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0
